"","X1","Unnamed: 0","datetime","date","hour","season","holiday","open","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall","month","week","day_of_month","day_of_year","day_of_week","dayName_of_week","month_name","season_no"
"46",45,46,2017-12-02 21:00:00,2017-12-02,21,"Winter","No Holiday","Yes",377,4.1,55,1.2,14480,-4.1,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"47",46,47,2017-12-02 22:00:00,2017-12-02,22,"Winter","No Holiday","Yes",354,3.5,54,1.5,14460,-4.9,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"48",47,48,2017-12-02 23:00:00,2017-12-02,23,"Winter","No Holiday","Yes",366,4,56,1,13520,-4,0,0,0,12,48,2,336,5,"Saturday","Dec",4
"49",48,49,2017-12-03 00:00:00,2017-12-03,0,"Winter","No Holiday","Yes",342,4,58,1.4,12960,-3.5,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"50",49,50,2017-12-03 01:00:00,2017-12-03,1,"Winter","No Holiday","Yes",227,3.9,69,1.7,4850,-1.2,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"51",50,51,2017-12-03 02:00:00,2017-12-03,2,"Winter","No Holiday","Yes",228,3.3,79,1.4,8300,0,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"52",51,52,2017-12-03 03:00:00,2017-12-03,3,"Winter","No Holiday","Yes",117,3.4,71,1.6,10110,-1.3,0,0.5,0,12,48,3,337,6,"Sunday","Dec",4
"53",52,53,2017-12-03 04:00:00,2017-12-03,4,"Winter","No Holiday","Yes",76,3.5,73,1,10600,-0.8,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"54",53,54,2017-12-03 05:00:00,2017-12-03,5,"Winter","No Holiday","Yes",32,3.9,75,1.9,9140,-0.1,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"55",54,55,2017-12-03 06:00:00,2017-12-03,6,"Winter","No Holiday","Yes",13,3.4,86,2.5,2780,1.2,0,1,0,12,48,3,337,6,"Sunday","Dec",4
"56",55,56,2017-12-03 07:00:00,2017-12-03,7,"Winter","No Holiday","Yes",22,3.1,91,1.2,1290,1.7,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"57",56,57,2017-12-03 08:00:00,2017-12-03,8,"Winter","No Holiday","Yes",85,3.2,92,1.8,2440,2,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"58",57,58,2017-12-03 09:00:00,2017-12-03,9,"Winter","No Holiday","Yes",152,3.5,91,1.8,2310,2.1,0.02,2.5,0,12,48,3,337,6,"Sunday","Dec",4
"59",58,59,2017-12-03 10:00:00,2017-12-03,10,"Winter","No Holiday","Yes",200,4.4,89,2.2,2570,2.7,0.24,0,0,12,48,3,337,6,"Sunday","Dec",4
"60",59,60,2017-12-03 11:00:00,2017-12-03,11,"Winter","No Holiday","Yes",273,5.1,87,1.4,3210,3.1,0.25,0,0,12,48,3,337,6,"Sunday","Dec",4
"61",60,61,2017-12-03 12:00:00,2017-12-03,12,"Winter","No Holiday","Yes",333,5.8,85,1.7,3490,3.4,0.43,0,0,12,48,3,337,6,"Sunday","Dec",4
"62",61,62,2017-12-03 13:00:00,2017-12-03,13,"Winter","No Holiday","Yes",495,6.8,81,1.9,3900,3.7,0.6,0,0,12,48,3,337,6,"Sunday","Dec",4
"63",62,63,2017-12-03 14:00:00,2017-12-03,14,"Winter","No Holiday","Yes",563,7.6,76,1.2,4220,3.6,0.69,0,0,12,48,3,337,6,"Sunday","Dec",4
"64",63,64,2017-12-03 15:00:00,2017-12-03,15,"Winter","No Holiday","Yes",621,8,73,1.6,4330,3.4,0.53,0,0,12,48,3,337,6,"Sunday","Dec",4
"65",64,65,2017-12-03 16:00:00,2017-12-03,16,"Winter","No Holiday","Yes",598,7.6,77,1.6,3990,3.8,0.2,0,0,12,48,3,337,6,"Sunday","Dec",4
"66",65,66,2017-12-03 17:00:00,2017-12-03,17,"Winter","No Holiday","Yes",545,6.7,82,1.5,3580,3.8,0.05,0,0,12,48,3,337,6,"Sunday","Dec",4
"67",66,67,2017-12-03 18:00:00,2017-12-03,18,"Winter","No Holiday","Yes",443,6,84,1.9,3270,3.4,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"68",67,68,2017-12-03 19:00:00,2017-12-03,19,"Winter","No Holiday","Yes",422,5.7,85,1.7,3090,3.3,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"69",68,69,2017-12-03 20:00:00,2017-12-03,20,"Winter","No Holiday","Yes",397,5.2,87,1.4,2530,3.2,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"70",69,70,2017-12-03 21:00:00,2017-12-03,21,"Winter","No Holiday","Yes",385,4.7,87,1.2,2470,2.7,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"71",70,71,2017-12-03 22:00:00,2017-12-03,22,"Winter","No Holiday","Yes",350,4.3,89,1.8,2010,2.6,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"72",71,72,2017-12-03 23:00:00,2017-12-03,23,"Winter","No Holiday","Yes",303,3.9,90,1.3,1940,2.4,0,0,0,12,48,3,337,6,"Sunday","Dec",4
"73",72,73,2017-12-04 00:00:00,2017-12-04,0,"Winter","No Holiday","Yes",285,4.2,88,0.6,2160,2.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"74",73,74,2017-12-04 01:00:00,2017-12-04,1,"Winter","No Holiday","Yes",186,4.3,87,0.5,2210,2.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"75",74,75,2017-12-04 02:00:00,2017-12-04,2,"Winter","No Holiday","Yes",112,4.4,87,1.8,2070,2.4,0,0,0,12,49,4,338,0,"Monday","Dec",4
"76",75,76,2017-12-04 03:00:00,2017-12-04,3,"Winter","No Holiday","Yes",65,3.6,85,2.3,2060,1.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"77",76,77,2017-12-04 04:00:00,2017-12-04,4,"Winter","No Holiday","Yes",41,2.8,89,1.5,1300,1.1,0,0,0,12,49,4,338,0,"Monday","Dec",4
"78",77,78,2017-12-04 05:00:00,2017-12-04,5,"Winter","No Holiday","Yes",82,2,83,2.7,2530,-0.5,0,0,0,12,49,4,338,0,"Monday","Dec",4
"79",78,79,2017-12-04 06:00:00,2017-12-04,6,"Winter","No Holiday","Yes",200,1.2,76,3.7,3710,-2.5,0,0.1,0,12,49,4,338,0,"Monday","Dec",4
"80",79,80,2017-12-04 07:00:00,2017-12-04,7,"Winter","No Holiday","Yes",498,0.2,68,3.4,7020,-5,0,0,0,12,49,4,338,0,"Monday","Dec",4
"81",80,81,2017-12-04 08:00:00,2017-12-04,8,"Winter","No Holiday","Yes",937,-0.8,69,3.5,9540,-5.7,0.01,0,0,12,49,4,338,0,"Monday","Dec",4
"82",81,82,2017-12-04 09:00:00,2017-12-04,9,"Winter","No Holiday","Yes",509,-1.5,47,4.2,18880,-11.3,0.22,0,0,12,49,4,338,0,"Monday","Dec",4
"83",82,83,2017-12-04 10:00:00,2017-12-04,10,"Winter","No Holiday","Yes",311,-1.1,40,4.5,20000,-13,0.64,0,0,12,49,4,338,0,"Monday","Dec",4
"84",83,84,2017-12-04 11:00:00,2017-12-04,11,"Winter","No Holiday","Yes",379,-0.5,41,4.1,17990,-12.1,0.94,0,0,12,49,4,338,0,"Monday","Dec",4
"85",84,85,2017-12-04 12:00:00,2017-12-04,12,"Winter","No Holiday","Yes",393,-0.3,38,4.8,18230,-12.9,1.11,0,0,12,49,4,338,0,"Monday","Dec",4
"86",85,86,2017-12-04 13:00:00,2017-12-04,13,"Winter","No Holiday","Yes",391,0,30,5.4,19380,-15.5,1.17,0,0,12,49,4,338,0,"Monday","Dec",4
"87",86,87,2017-12-04 14:00:00,2017-12-04,14,"Winter","No Holiday","Yes",338,0.1,27,4.5,20000,-16.7,1.09,0,0,12,49,4,338,0,"Monday","Dec",4
"88",87,88,2017-12-04 15:00:00,2017-12-04,15,"Winter","No Holiday","Yes",341,-0.1,25,5.8,20000,-17.8,0.88,0,0,12,49,4,338,0,"Monday","Dec",4
"89",88,89,2017-12-04 16:00:00,2017-12-04,16,"Winter","No Holiday","Yes",375,-0.2,23,4.7,20000,-18.8,0.55,0,0,12,49,4,338,0,"Monday","Dec",4
"90",89,90,2017-12-04 17:00:00,2017-12-04,17,"Winter","No Holiday","Yes",515,-1.3,26,5.3,20000,-18.3,0.18,0,0,12,49,4,338,0,"Monday","Dec",4
"91",90,91,2017-12-04 18:00:00,2017-12-04,18,"Winter","No Holiday","Yes",807,-2.1,29,3.9,20000,-17.7,0,0,0,12,49,4,338,0,"Monday","Dec",4
"92",91,92,2017-12-04 19:00:00,2017-12-04,19,"Winter","No Holiday","Yes",568,-2.9,32,3.2,20000,-17.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"93",92,93,2017-12-04 20:00:00,2017-12-04,20,"Winter","No Holiday","Yes",398,-3.6,38,3,20000,-15.8,0,0,0,12,49,4,338,0,"Monday","Dec",4
"94",93,94,2017-12-04 21:00:00,2017-12-04,21,"Winter","No Holiday","Yes",397,-4.6,43,4.5,20000,-15.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"95",94,95,2017-12-04 22:00:00,2017-12-04,22,"Winter","No Holiday","Yes",353,-5.3,45,2.5,20000,-15.3,0,0,0,12,49,4,338,0,"Monday","Dec",4
"96",95,96,2017-12-04 23:00:00,2017-12-04,23,"Winter","No Holiday","Yes",248,-5.8,44,2.4,20000,-16.1,0,0,0,12,49,4,338,0,"Monday","Dec",4
"97",96,97,2017-12-05 00:00:00,2017-12-05,0,"Winter","No Holiday","Yes",216,-6.1,42,2.6,20000,-16.9,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"98",97,98,2017-12-05 01:00:00,2017-12-05,1,"Winter","No Holiday","Yes",198,-6.5,41,2.8,20000,-17.6,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"99",98,99,2017-12-05 02:00:00,2017-12-05,2,"Winter","No Holiday","Yes",124,-6.8,41,2.5,20000,-17.8,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"100",99,100,2017-12-05 03:00:00,2017-12-05,3,"Winter","No Holiday","Yes",62,-6.9,39,2,20000,-18.5,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"101",100,101,2017-12-05 04:00:00,2017-12-05,4,"Winter","No Holiday","Yes",42,-7.2,34,3,20000,-20.4,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"102",101,102,2017-12-05 05:00:00,2017-12-05,5,"Winter","No Holiday","Yes",82,-7.4,33,2.6,20000,-20.9,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"103",102,103,2017-12-05 06:00:00,2017-12-05,6,"Winter","No Holiday","Yes",172,-7.4,34,3.2,20000,-20.6,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"104",103,104,2017-12-05 07:00:00,2017-12-05,7,"Winter","No Holiday","Yes",381,-7.5,33,2.2,20000,-21,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"105",104,105,2017-12-05 08:00:00,2017-12-05,8,"Winter","No Holiday","Yes",812,-8.1,36,1.6,20000,-20.5,0.01,0,0,12,49,5,339,1,"Tuesday","Dec",4
"106",105,106,2017-12-05 09:00:00,2017-12-05,9,"Winter","No Holiday","Yes",462,-7.6,31,1.3,19740,-21.8,0.21,0,0,12,49,5,339,1,"Tuesday","Dec",4
"107",106,107,2017-12-05 10:00:00,2017-12-05,10,"Winter","No Holiday","Yes",269,-5.5,26,2.8,19670,-22,0.64,0,0,12,49,5,339,1,"Tuesday","Dec",4
"108",107,108,2017-12-05 11:00:00,2017-12-05,11,"Winter","No Holiday","Yes",334,-3.9,25,0,19590,-21,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"109",108,109,2017-12-05 12:00:00,2017-12-05,12,"Winter","No Holiday","Yes",321,-2.3,25,0,19620,-19.7,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"110",109,110,2017-12-05 13:00:00,2017-12-05,13,"Winter","No Holiday","Yes",325,-1.6,27,0,19550,-18.2,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"111",110,111,2017-12-05 14:00:00,2017-12-05,14,"Winter","No Holiday","Yes",334,-1.1,28,0,20000,-17.3,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"112",111,112,2017-12-05 15:00:00,2017-12-05,15,"Winter","No Holiday","Yes",353,-0.7,28,0,20000,-16.9,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"113",112,113,2017-12-05 16:00:00,2017-12-05,16,"Winter","No Holiday","Yes",435,-0.5,30,0,20000,-16,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"114",113,114,2017-12-05 17:00:00,2017-12-05,17,"Winter","No Holiday","Yes",529,-1.6,35,0,20000,-15.1,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"115",114,115,2017-12-05 18:00:00,2017-12-05,18,"Winter","No Holiday","Yes",789,-2.6,40,0,20000,-14.4,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"116",115,116,2017-12-05 19:00:00,2017-12-05,19,"Winter","No Holiday","Yes",597,-3.2,45,0,20000,-13.5,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"117",116,117,2017-12-05 20:00:00,2017-12-05,20,"Winter","No Holiday","Yes",418,-3.5,46,0,20000,-13.4,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"118",117,118,2017-12-05 21:00:00,2017-12-05,21,"Winter","No Holiday","Yes",415,-3.7,47,0,20000,-13.3,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"119",118,119,2017-12-05 22:00:00,2017-12-05,22,"Winter","No Holiday","Yes",393,-2.8,49,0,20000,-12,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"120",119,120,2017-12-05 23:00:00,2017-12-05,23,"Winter","No Holiday","Yes",244,-2.5,59,0,12100,-9.4,0,0,0,12,49,5,339,1,"Tuesday","Dec",4
"121",120,121,2017-12-06 00:00:00,2017-12-06,0,"Winter","No Holiday","Yes",145,-2.8,77,0,3310,-6.2,0,0.1,1,12,49,6,340,2,"Wednesday","Dec",4
"122",121,122,2017-12-06 01:00:00,2017-12-06,1,"Winter","No Holiday","Yes",144,-3,79,0,2930,-6.1,0,0,3,12,49,6,340,2,"Wednesday","Dec",4
"123",122,123,2017-12-06 02:00:00,2017-12-06,2,"Winter","No Holiday","Yes",117,-3,79,0,18620,-6.1,0,0,4,12,49,6,340,2,"Wednesday","Dec",4
"124",123,124,2017-12-06 03:00:00,2017-12-06,3,"Winter","No Holiday","Yes",78,-3.2,78,0,18080,-6.4,0,0.2,4,12,49,6,340,2,"Wednesday","Dec",4
"125",124,125,2017-12-06 04:00:00,2017-12-06,4,"Winter","No Holiday","Yes",58,-3.4,75,0,19820,-7.2,0,0,4,12,49,6,340,2,"Wednesday","Dec",4
"126",125,126,2017-12-06 05:00:00,2017-12-06,5,"Winter","No Holiday","Yes",87,-3.6,76,0,19340,-7.2,0,0,4,12,49,6,340,2,"Wednesday","Dec",4
"127",126,127,2017-12-06 06:00:00,2017-12-06,6,"Winter","No Holiday","Yes",142,-3.7,76,0,18640,-7.3,0,0,4,12,49,6,340,2,"Wednesday","Dec",4
"128",127,128,2017-12-06 07:00:00,2017-12-06,7,"Winter","No Holiday","Yes",379,-4.2,77,0,17410,-7.6,0,0,3,12,49,6,340,2,"Wednesday","Dec",4
"129",128,129,2017-12-06 08:00:00,2017-12-06,8,"Winter","No Holiday","Yes",802,-4.2,78,0,15180,-7.4,0.01,0,2,12,49,6,340,2,"Wednesday","Dec",4
"130",129,130,2017-12-06 09:00:00,2017-12-06,9,"Winter","No Holiday","Yes",440,-3.3,70,0,13240,-7.9,0.25,0,2,12,49,6,340,2,"Wednesday","Dec",4
"131",130,131,2017-12-06 10:00:00,2017-12-06,10,"Winter","No Holiday","Yes",307,-0.9,64,0,12240,-6.8,0.63,0,2,12,49,6,340,2,"Wednesday","Dec",4
"132",131,132,2017-12-06 11:00:00,2017-12-06,11,"Winter","No Holiday","Yes",381,1.6,57,1.2,12610,-6,0.93,0,0,12,49,6,340,2,"Wednesday","Dec",4
"133",132,133,2017-12-06 12:00:00,2017-12-06,12,"Winter","No Holiday","Yes",405,2.4,52,0.9,12240,-6.4,1.08,0,0,12,49,6,340,2,"Wednesday","Dec",4
"134",133,134,2017-12-06 13:00:00,2017-12-06,13,"Winter","No Holiday","Yes",442,4.2,47,1.1,14690,-6.1,1.1,0,0,12,49,6,340,2,"Wednesday","Dec",4
"135",134,135,2017-12-06 14:00:00,2017-12-06,14,"Winter","No Holiday","Yes",416,5.5,34,1,19660,-9.1,0.96,0,0,12,49,6,340,2,"Wednesday","Dec",4
"136",135,136,2017-12-06 15:00:00,2017-12-06,15,"Winter","No Holiday","Yes",412,5.5,31,3.1,19680,-10.3,0.72,0,0,12,49,6,340,2,"Wednesday","Dec",4
"137",136,137,2017-12-06 16:00:00,2017-12-06,16,"Winter","No Holiday","Yes",496,5.3,37,2.9,20000,-8.2,0.36,0,0,12,49,6,340,2,"Wednesday","Dec",4
"138",137,138,2017-12-06 17:00:00,2017-12-06,17,"Winter","No Holiday","Yes",239,4.1,60,2.5,15650,-2.9,0.1,0,0,12,49,6,340,2,"Wednesday","Dec",4
"139",138,139,2017-12-06 18:00:00,2017-12-06,18,"Winter","No Holiday","Yes",204,1.7,90,1,660,0.2,0,0.3,3,12,49,6,340,2,"Wednesday","Dec",4
"140",139,140,2017-12-06 19:00:00,2017-12-06,19,"Winter","No Holiday","Yes",205,1.2,92,0.7,1800,0,0,0,10,12,49,6,340,2,"Wednesday","Dec",4
"141",140,141,2017-12-06 20:00:00,2017-12-06,20,"Winter","No Holiday","Yes",190,1.2,94,0.6,2280,0.3,0,0,10,12,49,6,340,2,"Wednesday","Dec",4
"142",141,142,2017-12-06 21:00:00,2017-12-06,21,"Winter","No Holiday","Yes",165,1.1,92,0.5,2350,0,0,0.7,10,12,49,6,340,2,"Wednesday","Dec",4
"143",142,143,2017-12-06 22:00:00,2017-12-06,22,"Winter","No Holiday","Yes",222,1.3,92,0.6,2330,0.1,0,0,10,12,49,6,340,2,"Wednesday","Dec",4
"144",143,144,2017-12-06 23:00:00,2017-12-06,23,"Winter","No Holiday","Yes",193,1.3,92,0.6,2090,0.1,0,0,10,12,49,6,340,2,"Wednesday","Dec",4
"145",144,145,2017-12-07 00:00:00,2017-12-07,0,"Winter","No Holiday","Yes",198,1.4,92,0.5,2400,0.2,0,0,9,12,49,7,341,3,"Thursday","Dec",4
"146",145,146,2017-12-07 01:00:00,2017-12-07,1,"Winter","No Holiday","Yes",218,1.5,92,0.4,2270,0.3,0,0,9,12,49,7,341,3,"Thursday","Dec",4
"147",146,147,2017-12-07 02:00:00,2017-12-07,2,"Winter","No Holiday","Yes",149,1.4,92,0.7,1680,0.2,0,0,9,12,49,7,341,3,"Thursday","Dec",4
"148",147,148,2017-12-07 03:00:00,2017-12-07,3,"Winter","No Holiday","Yes",102,1.9,91,1.4,2180,0.5,0,0,9,12,49,7,341,3,"Thursday","Dec",4
"149",148,149,2017-12-07 04:00:00,2017-12-07,4,"Winter","No Holiday","Yes",62,1.6,92,0.7,1190,0.4,0,0,9,12,49,7,341,3,"Thursday","Dec",4
