"","datetime","date","hour","season","holiday","open","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rainfall","snowfall"
"24",2018-09-01 23:00:00,2018-09-01,23,"Autumn","No Holiday","Yes",1523,24.4,54,1.6,20000,14.4,0,0,0
"25",2018-09-02 00:00:00,2018-09-02,0,"Autumn","No Holiday","Yes",1336,23.5,56,1.5,20000,14.2,0,0,0
"26",2018-09-02 01:00:00,2018-09-02,1,"Autumn","No Holiday","Yes",930,22.8,59,1.5,20000,14.3,0,0,0
"27",2018-09-02 02:00:00,2018-09-02,2,"Autumn","No Holiday","Yes",610,22,60,1.2,20000,13.8,0,0,0
"28",2018-09-02 03:00:00,2018-09-02,3,"Autumn","No Holiday","Yes",440,21.5,61,1.3,20000,13.6,0,0,0
"29",2018-09-02 04:00:00,2018-09-02,4,"Autumn","No Holiday","Yes",255,21.1,62,1.8,20000,13.5,0,0,0
"30",2018-09-02 05:00:00,2018-09-02,5,"Autumn","No Holiday","Yes",179,20.6,65,1.1,20000,13.7,0,0,0
"31",2018-09-02 06:00:00,2018-09-02,6,"Autumn","No Holiday","Yes",249,20.2,66,1,20000,13.6,0,0,0
"32",2018-09-02 07:00:00,2018-09-02,7,"Autumn","No Holiday","Yes",388,20.2,65,1.4,20000,13.4,0.16,0,0
"33",2018-09-02 08:00:00,2018-09-02,8,"Autumn","No Holiday","Yes",576,21.3,57,1.3,20000,12.4,0.81,0,0
"34",2018-09-02 09:00:00,2018-09-02,9,"Autumn","No Holiday","Yes",721,23.4,52,1.3,19970,12.9,1.53,0,0
"35",2018-09-02 10:00:00,2018-09-02,10,"Autumn","No Holiday","Yes",802,25,47,1.5,20000,12.8,2.17,0,0
"36",2018-09-02 11:00:00,2018-09-02,11,"Autumn","No Holiday","Yes",940,26.5,44,1.4,19580,13.2,2.62,0,0
"37",2018-09-02 12:00:00,2018-09-02,12,"Autumn","No Holiday","Yes",1075,27.5,43,1.4,19590,13.7,2.75,0,0
"38",2018-09-02 13:00:00,2018-09-02,13,"Autumn","No Holiday","Yes",1254,28.5,42,1.7,19900,14.3,2.94,0,0
"39",2018-09-02 14:00:00,2018-09-02,14,"Autumn","No Holiday","Yes",1395,29.1,43,1.4,20000,15.2,2.39,0,0
"40",2018-09-02 15:00:00,2018-09-02,15,"Autumn","No Holiday","Yes",1550,29.3,43,1.5,19580,15.4,2.4,0,0
"41",2018-09-02 16:00:00,2018-09-02,16,"Autumn","No Holiday","Yes",1853,29.3,44,1.4,19970,15.7,1.32,0,0
"42",2018-09-02 17:00:00,2018-09-02,17,"Autumn","No Holiday","Yes",2069,28.8,47,2,19980,16.3,1,0,0
"43",2018-09-02 18:00:00,2018-09-02,18,"Autumn","No Holiday","Yes",2118,27.9,52,1.7,20000,17.1,0.2,0,0
"44",2018-09-02 19:00:00,2018-09-02,19,"Autumn","No Holiday","Yes",1986,27.3,54,1.5,20000,17.1,0.05,0,0
"45",2018-09-02 20:00:00,2018-09-02,20,"Autumn","No Holiday","Yes",1838,26.9,56,1.6,20000,17.3,0,0,0
"46",2018-09-02 21:00:00,2018-09-02,21,"Autumn","No Holiday","Yes",1759,26.2,62,2.3,20000,18.3,0,0,0
"47",2018-09-02 22:00:00,2018-09-02,22,"Autumn","No Holiday","Yes",1511,25.7,64,1.1,20000,18.3,0,0,0
"48",2018-09-02 23:00:00,2018-09-02,23,"Autumn","No Holiday","Yes",1047,25.1,65,2.2,20000,18,0,0,0
"49",2018-09-03 00:00:00,2018-09-03,0,"Autumn","No Holiday","Yes",763,24.7,67,1.2,20000,18.1,0,0,0
"50",2018-09-03 01:00:00,2018-09-03,1,"Autumn","No Holiday","Yes",524,24.5,68,0.5,20000,18.1,0,0,0
"51",2018-09-03 02:00:00,2018-09-03,2,"Autumn","No Holiday","Yes",321,24.3,68,1,20000,18,0,0,0
"52",2018-09-03 03:00:00,2018-09-03,3,"Autumn","No Holiday","Yes",211,24.2,70,0.3,20000,18.3,0,0,0
"53",2018-09-03 04:00:00,2018-09-03,4,"Autumn","No Holiday","Yes",153,24,70,1.2,20000,18.1,0,0,0
"54",2018-09-03 05:00:00,2018-09-03,5,"Autumn","No Holiday","Yes",264,23.9,70,1.5,20000,18,0,0,0
"55",2018-09-03 06:00:00,2018-09-03,6,"Autumn","No Holiday","Yes",656,23.8,71,1.2,20000,18.2,0,0,0
"56",2018-09-03 07:00:00,2018-09-03,7,"Autumn","No Holiday","Yes",1287,23.9,71,0.4,20000,18.3,0.02,0,0
"57",2018-09-03 08:00:00,2018-09-03,8,"Autumn","No Holiday","Yes",1580,24.2,70,1.4,20000,18.3,0.16,0,0
"58",2018-09-03 09:00:00,2018-09-03,9,"Autumn","No Holiday","Yes",719,23.6,86,1.2,3360,21.1,0.14,2,0
"59",2018-09-03 10:00:00,2018-09-03,10,"Autumn","No Holiday","Yes",434,23.3,89,0.7,17160,21.3,0.2,0.5,0
"60",2018-09-03 11:00:00,2018-09-03,11,"Autumn","No Holiday","Yes",443,23.7,86,0.6,17980,21.2,0.31,0,0
"61",2018-09-03 12:00:00,2018-09-03,12,"Autumn","No Holiday","Yes",673,23.9,83,1.1,19010,20.8,0.27,0,0
"62",2018-09-03 13:00:00,2018-09-03,13,"Autumn","No Holiday","Yes",731,24.9,78,1.5,19100,20.7,0.72,0,0
"63",2018-09-03 14:00:00,2018-09-03,14,"Autumn","No Holiday","Yes",532,25.6,77,0.8,19300,21.2,0.78,0,0
"64",2018-09-03 15:00:00,2018-09-03,15,"Autumn","No Holiday","Yes",137,25.7,81,0.7,18250,22.1,0.43,0,0
"65",2018-09-03 16:00:00,2018-09-03,16,"Autumn","No Holiday","Yes",39,25.5,91,1.3,4030,23.9,0.23,3.5,0
"66",2018-09-03 17:00:00,2018-09-03,17,"Autumn","No Holiday","Yes",23,22.7,96,4.9,4520,22,0.07,13,0
"67",2018-09-03 18:00:00,2018-09-03,18,"Autumn","No Holiday","Yes",113,21.9,97,1.8,7570,21.3,0.02,13,0
"68",2018-09-03 19:00:00,2018-09-03,19,"Autumn","No Holiday","Yes",73,21.7,97,0.2,11540,21.1,0.01,1,0
"69",2018-09-03 20:00:00,2018-09-03,20,"Autumn","No Holiday","Yes",151,21.5,97,0.3,20000,20.9,0,0.5,0
"70",2018-09-03 21:00:00,2018-09-03,21,"Autumn","No Holiday","Yes",110,21.6,97,0.5,6460,21,0,0.5,0
"71",2018-09-03 22:00:00,2018-09-03,22,"Autumn","No Holiday","Yes",379,21.7,97,0.4,4400,21.1,0,0.5,0
"72",2018-09-03 23:00:00,2018-09-03,23,"Autumn","No Holiday","Yes",486,21.7,97,0.8,8380,21.1,0,0,0
"73",2018-09-04 00:00:00,2018-09-04,0,"Autumn","No Holiday","Yes",500,21.4,97,0.1,4040,20.8,0,0,0
"74",2018-09-04 01:00:00,2018-09-04,1,"Autumn","No Holiday","Yes",486,21.3,97,1.1,5700,20.7,0,0,0
"75",2018-09-04 02:00:00,2018-09-04,2,"Autumn","No Holiday","Yes",324,20.9,96,0.4,9700,20.2,0,0,0
"76",2018-09-04 03:00:00,2018-09-04,3,"Autumn","No Holiday","Yes",223,20.6,97,0.2,5000,20.1,0,0,0
"77",2018-09-04 04:00:00,2018-09-04,4,"Autumn","No Holiday","Yes",186,20.4,97,2.7,7040,19.9,0,0,0
"78",2018-09-04 05:00:00,2018-09-04,5,"Autumn","No Holiday","Yes",219,20.2,97,1.2,5280,19.7,0,0,0
"79",2018-09-04 06:00:00,2018-09-04,6,"Autumn","No Holiday","Yes",602,20,97,0,6470,19.5,0,0,0
"80",2018-09-04 07:00:00,2018-09-04,7,"Autumn","No Holiday","Yes",1289,20.1,97,1.9,4430,19.6,0.03,0,0
"81",2018-09-04 08:00:00,2018-09-04,8,"Autumn","No Holiday","Yes",2059,20.5,90,1.9,4900,18.7,0.53,0,0
"82",2018-09-04 09:00:00,2018-09-04,9,"Autumn","No Holiday","Yes",1083,21.6,81,2.3,16690,18.1,1.2,0,0
"83",2018-09-04 10:00:00,2018-09-04,10,"Autumn","No Holiday","Yes",822,23.1,73,3.1,20000,17.9,2.24,0,0
"84",2018-09-04 11:00:00,2018-09-04,11,"Autumn","No Holiday","Yes",940,24.5,64,2.7,20000,17.2,2.7,0,0
"85",2018-09-04 12:00:00,2018-09-04,12,"Autumn","No Holiday","Yes",995,25.8,57,2.8,20000,16.6,3.02,0,0
"86",2018-09-04 13:00:00,2018-09-04,13,"Autumn","No Holiday","Yes",997,26.5,58,2.8,20000,17.5,2.87,0,0
"87",2018-09-04 14:00:00,2018-09-04,14,"Autumn","No Holiday","Yes",987,27.4,52,3.8,19980,16.6,2.67,0,0
"88",2018-09-04 15:00:00,2018-09-04,15,"Autumn","No Holiday","Yes",1178,26.7,51,3.4,20000,15.7,2.09,0,0
"89",2018-09-04 16:00:00,2018-09-04,16,"Autumn","No Holiday","Yes",1429,27.1,47,4.3,20000,14.8,1.82,0,0
"90",2018-09-04 17:00:00,2018-09-04,17,"Autumn","No Holiday","Yes",1993,27.6,47,3.3,20000,15.2,1.49,0,0
"91",2018-09-04 18:00:00,2018-09-04,18,"Autumn","No Holiday","Yes",3166,26.8,53,2.6,20000,16.4,0.8,0,0
"92",2018-09-04 19:00:00,2018-09-04,19,"Autumn","No Holiday","Yes",2491,25.1,49,3.1,20000,13.6,0.18,0,0
"93",2018-09-04 20:00:00,2018-09-04,20,"Autumn","No Holiday","Yes",2259,23.7,49,3.3,20000,12.3,0,0,0
"94",2018-09-04 21:00:00,2018-09-04,21,"Autumn","No Holiday","Yes",2212,22.9,55,3,20000,13.3,0,0,0
"95",2018-09-04 22:00:00,2018-09-04,22,"Autumn","No Holiday","Yes",1856,22.2,58,1.5,20000,13.5,0,0,0
"96",2018-09-04 23:00:00,2018-09-04,23,"Autumn","No Holiday","Yes",1233,21.7,60,0.5,20000,13.5,0,0,0
"97",2018-09-05 00:00:00,2018-09-05,0,"Autumn","No Holiday","Yes",983,21.1,64,1.5,20000,14,0,0,0
"98",2018-09-05 01:00:00,2018-09-05,1,"Autumn","No Holiday","Yes",748,20.9,66,1.1,20000,14.3,0,0,0
"99",2018-09-05 02:00:00,2018-09-05,2,"Autumn","No Holiday","Yes",493,20.6,72,0.9,20000,15.3,0,0,0
"100",2018-09-05 03:00:00,2018-09-05,3,"Autumn","No Holiday","Yes",376,20.2,77,0.4,20000,16,0,0,0
"101",2018-09-05 04:00:00,2018-09-05,4,"Autumn","No Holiday","Yes",220,19.9,81,0.2,20000,16.5,0,0,0
"102",2018-09-05 05:00:00,2018-09-05,5,"Autumn","No Holiday","Yes",249,19.7,82,0.5,20000,16.5,0,0,0
"103",2018-09-05 06:00:00,2018-09-05,6,"Autumn","No Holiday","Yes",676,19.8,82,0.5,20000,16.6,0,0,0
"104",2018-09-05 07:00:00,2018-09-05,7,"Autumn","No Holiday","Yes",1487,19.8,79,0.9,20000,16,0.13,0,0
"105",2018-09-05 08:00:00,2018-09-05,8,"Autumn","No Holiday","Yes",2312,21.2,69,1.9,20000,15.2,0.74,0,0
"106",2018-09-05 09:00:00,2018-09-05,9,"Autumn","No Holiday","Yes",1195,23.4,59,3,19740,14.9,1.46,0,0
"107",2018-09-05 10:00:00,2018-09-05,10,"Autumn","No Holiday","Yes",847,25.4,49,3.9,19960,13.9,2.13,0,0
"108",2018-09-05 11:00:00,2018-09-05,11,"Autumn","No Holiday","Yes",937,26.4,47,2.9,20000,14.1,2.38,0,0
"109",2018-09-05 12:00:00,2018-09-05,12,"Autumn","No Holiday","Yes",1072,27.1,44,5,20000,13.7,2.8,0,0
"110",2018-09-05 13:00:00,2018-09-05,13,"Autumn","No Holiday","Yes",1039,27.3,46,4.8,19830,14.6,2.92,0,0
"111",2018-09-05 14:00:00,2018-09-05,14,"Autumn","No Holiday","Yes",989,27.9,42,5,19140,13.7,2.79,0,0
"112",2018-09-05 15:00:00,2018-09-05,15,"Autumn","No Holiday","Yes",1131,28.1,43,5.1,19290,14.3,2.65,0,0
"113",2018-09-05 16:00:00,2018-09-05,16,"Autumn","No Holiday","Yes",1446,28.2,37,4,19870,12.1,2.03,0,0
"114",2018-09-05 17:00:00,2018-09-05,17,"Autumn","No Holiday","Yes",2068,27.7,40,5,20000,12.8,1.51,0,0
"115",2018-09-05 18:00:00,2018-09-05,18,"Autumn","No Holiday","Yes",3160,27,45,2.4,20000,14,0.77,0,0
"116",2018-09-05 19:00:00,2018-09-05,19,"Autumn","No Holiday","Yes",2468,25.4,55,3.2,20000,15.6,0.15,0,0
"117",2018-09-05 20:00:00,2018-09-05,20,"Autumn","No Holiday","Yes",2177,24.5,64,2,20000,17.2,0,0,0
"118",2018-09-05 21:00:00,2018-09-05,21,"Autumn","No Holiday","Yes",2024,23.9,75,2.3,19750,19.1,0,0,0
"119",2018-09-05 22:00:00,2018-09-05,22,"Autumn","No Holiday","Yes",1798,23.6,82,1.8,16730,20.3,0,0,0
"120",2018-09-05 23:00:00,2018-09-05,23,"Autumn","No Holiday","Yes",1219,23,83,1.8,14690,19.9,0,0,0
"121",2018-09-06 00:00:00,2018-09-06,0,"Autumn","No Holiday","Yes",963,22.5,83,0.5,15930,19.4,0,0,0
"122",2018-09-06 01:00:00,2018-09-06,1,"Autumn","No Holiday","Yes",743,21.9,85,0.2,14100,19.2,0,0,0
"123",2018-09-06 02:00:00,2018-09-06,2,"Autumn","No Holiday","Yes",531,21.6,86,0.2,13530,19.1,0,0,0
"124",2018-09-06 03:00:00,2018-09-06,3,"Autumn","No Holiday","Yes",320,21.5,85,0.1,12820,18.8,0,0,0
"125",2018-09-06 04:00:00,2018-09-06,4,"Autumn","No Holiday","Yes",215,21.6,87,0.4,9510,19.3,0,0,0
"126",2018-09-06 05:00:00,2018-09-06,5,"Autumn","No Holiday","Yes",247,21.7,87,0.6,8460,19.4,0,0,0
"127",2018-09-06 06:00:00,2018-09-06,6,"Autumn","No Holiday","Yes",680,21.4,84,0.8,15060,18.5,0,0,0
"128",2018-09-06 07:00:00,2018-09-06,7,"Autumn","No Holiday","Yes",1438,20.9,83,0.4,13880,17.8,0.09,0,0
"129",2018-09-06 08:00:00,2018-09-06,8,"Autumn","No Holiday","Yes",2270,21.8,77,0.9,14190,17.5,0.43,0,0
"130",2018-09-06 09:00:00,2018-09-06,9,"Autumn","No Holiday","Yes",1186,23.5,72,0.5,14850,18.1,0.95,0,0
"131",2018-09-06 10:00:00,2018-09-06,10,"Autumn","No Holiday","Yes",835,24.6,70,1.2,14540,18.7,0.96,0,0
"132",2018-09-06 11:00:00,2018-09-06,11,"Autumn","No Holiday","Yes",941,25.9,63,2.5,16930,18.3,1.32,0,0
"133",2018-09-06 12:00:00,2018-09-06,12,"Autumn","No Holiday","Yes",1041,26.9,60,2.3,15920,18.4,1.67,0,0
"134",2018-09-06 13:00:00,2018-09-06,13,"Autumn","No Holiday","Yes",1049,28,52,2.3,16420,17.2,1.85,0,0
"135",2018-09-06 14:00:00,2018-09-06,14,"Autumn","No Holiday","Yes",1032,27.9,47,3.2,18690,15.5,1.65,0,0
"136",2018-09-06 15:00:00,2018-09-06,15,"Autumn","No Holiday","Yes",1089,27.8,48,3,18800,15.7,0.93,0,0
"137",2018-09-06 16:00:00,2018-09-06,16,"Autumn","No Holiday","Yes",1292,26.9,55,3.9,19090,17,0.54,0,0
"138",2018-09-06 17:00:00,2018-09-06,17,"Autumn","No Holiday","Yes",1525,26.6,63,3,20000,18.9,0.43,0,0
"139",2018-09-06 18:00:00,2018-09-06,18,"Autumn","No Holiday","Yes",2497,25.8,58,2.9,20000,16.9,0.16,0,0
"140",2018-09-06 19:00:00,2018-09-06,19,"Autumn","No Holiday","Yes",1990,25.3,71,3.3,20000,19.6,0.05,0,0
"141",2018-09-06 20:00:00,2018-09-06,20,"Autumn","No Holiday","Yes",1900,25.1,71,3.6,20000,19.4,0,0,0
"142",2018-09-06 21:00:00,2018-09-06,21,"Autumn","No Holiday","Yes",1851,24.6,70,2.5,20000,18.7,0,0,0
"143",2018-09-06 22:00:00,2018-09-06,22,"Autumn","No Holiday","Yes",1641,24.3,71,2.5,19920,18.6,0,0,0
"144",2018-09-06 23:00:00,2018-09-06,23,"Autumn","No Holiday","Yes",562,23.9,71,4.7,19820,18.3,0,0,0
"145",2018-09-07 00:00:00,2018-09-07,0,"Autumn","No Holiday","Yes",556,21.3,82,3.5,19330,18,0,1,0
"146",2018-09-07 01:00:00,2018-09-07,1,"Autumn","No Holiday","Yes",345,21.6,77,2.6,17770,17.3,0,0,0
"147",2018-09-07 02:00:00,2018-09-07,2,"Autumn","No Holiday","Yes",259,21.3,76,2.2,15590,16.8,0,0.5,0
"148",2018-09-07 03:00:00,2018-09-07,3,"Autumn","No Holiday","Yes",259,21.1,75,1.8,15510,16.4,0,0,0
"149",2018-09-07 04:00:00,2018-09-07,4,"Autumn","No Holiday","Yes",185,20.8,66,1.5,17190,14.2,0,0,0
"150",2018-09-07 05:00:00,2018-09-07,5,"Autumn","No Holiday","Yes",247,20.5,67,1.2,16490,14.1,0,0,0
"151",2018-09-07 06:00:00,2018-09-07,6,"Autumn","No Holiday","Yes",624,20.2,70,1.6,16900,14.5,0,0,0
"152",2018-09-07 07:00:00,2018-09-07,7,"Autumn","No Holiday","Yes",1346,20.3,74,1.8,13720,15.5,0.07,0,0
"153",2018-09-07 08:00:00,2018-09-07,8,"Autumn","No Holiday","Yes",2260,20.5,78,2.5,12500,16.5,0.32,0,0
"154",2018-09-07 09:00:00,2018-09-07,9,"Autumn","No Holiday","Yes",1194,21.3,63,2.7,19690,13.9,1.15,0,0
"155",2018-09-07 10:00:00,2018-09-07,10,"Autumn","No Holiday","Yes",896,22.6,58,1.8,19620,13.9,2.02,0,0
"156",2018-09-07 11:00:00,2018-09-07,11,"Autumn","No Holiday","Yes",988,23.8,51,3.5,19700,13,2.62,0,0
"157",2018-09-07 12:00:00,2018-09-07,12,"Autumn","No Holiday","Yes",1213,24.2,50,3.8,20000,13.1,2.85,0,0
"158",2018-09-07 13:00:00,2018-09-07,13,"Autumn","No Holiday","Yes",1119,24.3,50,2.9,20000,13.2,2.37,0,0
"159",2018-09-07 14:00:00,2018-09-07,14,"Autumn","No Holiday","Yes",1187,25.2,43,3.2,19810,11.7,2.59,0,0
"160",2018-09-07 15:00:00,2018-09-07,15,"Autumn","No Holiday","Yes",1391,24.7,44,4.2,20000,11.6,1.92,0,0
"161",2018-09-07 16:00:00,2018-09-07,16,"Autumn","No Holiday","Yes",1577,25.2,39,2.8,19870,10.2,1.65,0,0
"162",2018-09-07 17:00:00,2018-09-07,17,"Autumn","No Holiday","Yes",2183,24.5,37,3.2,20000,8.8,1.04,0,0
"163",2018-09-07 18:00:00,2018-09-07,18,"Autumn","No Holiday","Yes",3154,24.4,34,2.4,20000,7.5,0.84,0,0
"164",2018-09-07 19:00:00,2018-09-07,19,"Autumn","No Holiday","Yes",2365,22.6,39,2.8,20000,7.9,0.14,0,0
"165",2018-09-07 20:00:00,2018-09-07,20,"Autumn","No Holiday","Yes",1959,21.6,43,1.4,20000,8.4,0,0,0
"166",2018-09-07 21:00:00,2018-09-07,21,"Autumn","No Holiday","Yes",1915,20.6,48,2.1,20000,9.1,0,0,0
"167",2018-09-07 22:00:00,2018-09-07,22,"Autumn","No Holiday","Yes",1796,19.8,51,1.2,20000,9.3,0,0,0
"168",2018-09-07 23:00:00,2018-09-07,23,"Autumn","No Holiday","Yes",1363,19.4,50,2.8,20000,8.6,0,0,0
"169",2018-09-08 00:00:00,2018-09-08,0,"Autumn","No Holiday","Yes",1107,19.2,53,3.7,20000,9.3,0,0,0
"170",2018-09-08 01:00:00,2018-09-08,1,"Autumn","No Holiday","Yes",1001,18.9,55,2.3,20000,9.6,0,0,0
"171",2018-09-08 02:00:00,2018-09-08,2,"Autumn","No Holiday","Yes",692,18.5,57,2.3,20000,9.8,0,0,0
"172",2018-09-08 03:00:00,2018-09-08,3,"Autumn","No Holiday","Yes",504,17.8,60,0.2,20000,9.9,0,0,0
"173",2018-09-08 04:00:00,2018-09-08,4,"Autumn","No Holiday","Yes",285,17.2,66,0.6,20000,10.7,0,0,0
"174",2018-09-08 05:00:00,2018-09-08,5,"Autumn","No Holiday","Yes",227,16.7,70,0.8,20000,11.1,0,0,0
"175",2018-09-08 06:00:00,2018-09-08,6,"Autumn","No Holiday","Yes",322,16.2,70,0.3,20000,10.7,0,0,0
"176",2018-09-08 07:00:00,2018-09-08,7,"Autumn","No Holiday","Yes",511,16,70,1.1,20000,10.5,0.11,0,0
"177",2018-09-08 08:00:00,2018-09-08,8,"Autumn","No Holiday","Yes",827,17.1,57,1,19790,8.5,0.76,0,0
"178",2018-09-08 09:00:00,2018-09-08,9,"Autumn","No Holiday","Yes",956,19.9,51,0.6,19060,9.4,1.46,0,0
"179",2018-09-08 10:00:00,2018-09-08,10,"Autumn","No Holiday","Yes",1096,22.2,43,0.9,18910,9,2.09,0,0
"180",2018-09-08 11:00:00,2018-09-08,11,"Autumn","No Holiday","Yes",1179,24.2,41,1.5,18180,10.1,2.62,0,0
"181",2018-09-08 12:00:00,2018-09-08,12,"Autumn","No Holiday","Yes",1273,25.2,36,2.4,19950,9,2.93,0,0
"182",2018-09-08 13:00:00,2018-09-08,13,"Autumn","No Holiday","Yes",1505,26.1,32,3,19850,8.1,3.06,0,0
"183",2018-09-08 14:00:00,2018-09-08,14,"Autumn","No Holiday","Yes",1554,26.8,31,2.8,20000,8.2,2.96,0,0
"184",2018-09-08 15:00:00,2018-09-08,15,"Autumn","No Holiday","Yes",1792,26.9,33,2.9,19970,9.2,2.65,0,0
"185",2018-09-08 16:00:00,2018-09-08,16,"Autumn","No Holiday","Yes",1943,27.7,32,1.4,20000,9.4,2.05,0,0
"186",2018-09-08 17:00:00,2018-09-08,17,"Autumn","No Holiday","Yes",2167,27.2,35,1.7,20000,10.3,1.32,0,0
"187",2018-09-08 18:00:00,2018-09-08,18,"Autumn","No Holiday","Yes",2255,25.7,38,1.5,20000,10.3,0.64,0,0
"188",2018-09-08 19:00:00,2018-09-08,19,"Autumn","No Holiday","Yes",1978,24,41,1.9,20000,9.9,0.1,0,0
"189",2018-09-08 20:00:00,2018-09-08,20,"Autumn","No Holiday","Yes",1944,22.8,45,2,20000,10.2,0,0,0
"190",2018-09-08 21:00:00,2018-09-08,21,"Autumn","No Holiday","Yes",1878,22.1,49,1.7,20000,10.8,0,0,0
"191",2018-09-08 22:00:00,2018-09-08,22,"Autumn","No Holiday","Yes",1675,21.5,51,2,20000,10.9,0,0,0
"192",2018-09-08 23:00:00,2018-09-08,23,"Autumn","No Holiday","Yes",1142,20.7,52,1.4,20000,10.4,0,0,0
"193",2018-09-09 00:00:00,2018-09-09,0,"Autumn","No Holiday","Yes",1185,19.6,53,1.5,20000,9.7,0,0,0
"194",2018-09-09 01:00:00,2018-09-09,1,"Autumn","No Holiday","Yes",835,18.8,54,0.1,20000,9.2,0,0,0
"195",2018-09-09 02:00:00,2018-09-09,2,"Autumn","No Holiday","Yes",589,18.1,57,0.3,20000,9.4,0,0,0
"196",2018-09-09 03:00:00,2018-09-09,3,"Autumn","No Holiday","Yes",395,17.4,57,0.6,20000,8.7,0,0,0
"197",2018-09-09 04:00:00,2018-09-09,4,"Autumn","No Holiday","Yes",264,17,59,0,20000,8.9,0,0,0
"198",2018-09-09 05:00:00,2018-09-09,5,"Autumn","No Holiday","Yes",165,16.3,66,0.5,20000,9.9,0,0,0
"199",2018-09-09 06:00:00,2018-09-09,6,"Autumn","No Holiday","Yes",255,15.8,69,0.9,20000,10.1,0,0,0
"200",2018-09-09 07:00:00,2018-09-09,7,"Autumn","No Holiday","Yes",366,15.7,68,0.9,20000,9.8,0.05,0,0
"201",2018-09-09 08:00:00,2018-09-09,8,"Autumn","No Holiday","Yes",644,17.4,56,0.8,20000,8.5,0.49,0,0
"202",2018-09-09 09:00:00,2018-09-09,9,"Autumn","No Holiday","Yes",803,20.4,51,1.8,20000,9.9,1.43,0,0
"203",2018-09-09 10:00:00,2018-09-09,10,"Autumn","No Holiday","Yes",928,22.9,45,1.5,20000,10.3,2.1,0,0
"204",2018-09-09 11:00:00,2018-09-09,11,"Autumn","No Holiday","Yes",1051,24.4,41,1.3,19820,10.2,2.61,0,0
"205",2018-09-09 12:00:00,2018-09-09,12,"Autumn","No Holiday","Yes",1220,25.9,39,1.2,19500,10.8,2.89,0,0
"206",2018-09-09 13:00:00,2018-09-09,13,"Autumn","No Holiday","Yes",1432,27.2,32,1.7,20000,9,3.12,0,0
