"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count"
"65",2018-02-03,"Winter","No Holiday",22,0.5,3290,-6.45,44,4,19765,-18.65,0,596
"66",2018-02-04,"Winter","No Holiday",0,0,2487,-10,44,3.25,19875,-20.5,0,530
"67",2018-02-05,"Winter","No Holiday",0,0,3932,-10.05,39,3.45,20000,-22.1,0,385
"68",2018-02-06,"Winter","No Holiday",0,0,3988,-10.75,36,3.25,19885,-23.1,0,364
"69",2018-02-07,"Winter","No Holiday",0,0,4697,-7.3,47,1.6,18645,-20.9,0,439
"70",2018-02-08,"Winter","No Holiday",0,0,5613,-4.1,43,1.15,16810,-15.2,0,481
"71",2018-02-09,"Winter","No Holiday",0,0,6268,0.7,40.5,0.9,12190,-14.5,0,613
"72",2018-02-10,"Winter","No Holiday",0,0,4425,1.6,57.5,2.85,5870,-4.8,0,755
"73",2018-02-11,"Winter","No Holiday",0,0,2850,-6.35,37,2.7,19855,-18,0,537
"74",2018-02-12,"Winter","No Holiday",0,0,4813,-5.5,35.5,2.75,19930,-17.45,0,438
"75",2018-02-13,"Winter","No Holiday",0,0,6267,0.35,57,3.1,19795,-11.15,0,413
"76",2018-02-14,"Winter","No Holiday",0,0,6771,2.45,64.5,2.55,14780,-4.3,0,603
"77",2018-02-15,"Winter","Holiday",0,0,3484,-1.1,30,2.45,20000,-17.25,0,570
"78",2018-02-16,"Winter","Holiday",0,0,2593,-0.95,38,1.85,19510,-16,0,507
"79",2018-02-17,"Winter","Holiday",0,0,3118,-2.75,29,2.5,20000,-20.8,0,395
"80",2018-02-18,"Winter","No Holiday",0,0,4562,-0.5,29,1.15,20000,-18.8,0,325
"81",2018-02-19,"Winter","No Holiday",0,0,7604,1.4,43.5,1.55,11240,-8.05,0,536
"82",2018-02-20,"Winter","No Holiday",0,0,7955,0.8,30.5,2.6,15250,-13.45,0,579
"83",2018-02-21,"Winter","No Holiday",0,0,7491,-1.7,31,2.2,19975,-17.7,0,621
"84",2018-02-22,"Winter","No Holiday",0,0,7712,2.8,57.5,2,14230,-6.9,0,710
"85",2018-02-23,"Winter","No Holiday",447,4.1,5797,4.55,80.5,2.05,2420,0.25,0,1334
"86",2018-02-24,"Winter","No Holiday",0,0,6356,2.45,44.5,2.6,6855,-8.25,0.005,1069
"87",2018-02-25,"Winter","No Holiday",0,0,6500,0.1,42.5,1.8,16965,-11.7,0.005,707
"88",2018-02-26,"Winter","No Holiday",0,0,9247,2.75,39.5,1.1,13085,-8.85,0.005,684
"89",2018-02-27,"Winter","No Holiday",0,0,8862,5.05,46.5,0.8,8420,-6.95,0,793
"90",2018-02-28,"Winter","No Holiday",0,23,3820,5.2,59,2.05,5260,-1.85,0,990
