"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count","season_no"
"135",2018-04-14,"Spring","No Holiday",0,9,6980,8.9,79.5,1.65,14470,5.6,0.015,1538,1
"136",2018-04-15,"Spring","No Holiday",0,0,10207,9.3,65.5,2.15,13245,3.4,0.17,1134,1
"137",2018-04-16,"Spring","No Holiday",0,0,23198,10.95,34.5,1.35,18735,-1.65,0.22,659,1
"138",2018-04-17,"Spring","No Holiday",0,0,22234,11.85,31,1.15,16110,-1.85,0.215,1074,1
"139",2018-04-18,"Spring","No Holiday",0,0,21670,11.7,40,1.9,14660,-2.95,0.2,1443,1
"140",2018-04-19,"Spring","No Holiday",0,0,17730,13.8,38.5,1.7,11730,-1.05,0.175,1464,1
"141",2018-04-20,"Spring","No Holiday",0,0,22593,18.2,46.5,1.25,8075,5.1,0.195,1378,1
"142",2018-04-21,"Spring","No Holiday",0,0,24404,17.95,26,1.5,14365,-1.25,0.28,1276,1
"143",2018-04-22,"Spring","No Holiday",0,13.5,6852,15.9,44,0.9,18975,5.55,0.065,1463,1
"144",2018-04-23,"Spring","No Holiday",0,61,977,9.4,95,2.25,5045,8.5,0.015,1361,1
"145",2018-04-24,"Spring","No Holiday",0,3,20144,11.75,59.5,1.35,20000,6.75,0.08,543,1
"146",2018-04-25,"Spring","No Holiday",0,0,26285,15,35,1.1,19670,-0.55,0.28,759,1
"147",2018-04-26,"Spring","No Holiday",0,0,25670,13.7,52,2.2,13105,4.35,0.255,1541,1
"148",2018-04-27,"Spring","No Holiday",0,0,25861,15,55,1.5,9795,4.75,0.23,1718,1
"149",2018-04-28,"Spring","No Holiday",0,0,24940,14.5,45.5,1.75,13900,3,0.3,1664,1
"150",2018-04-29,"Spring","No Holiday",0,0,25349,15.85,42.5,1.7,12300,2.45,0.205,1674,1
"151",2018-04-30,"Spring","No Holiday",0,0,25462,18.75,60.5,1.4,4935,11.05,0.155,1729,1
"152",2018-05-01,"Spring","Holiday",0,0,26820,20.4,72.5,1.1,4790,15.2,0.135,1811,1
"153",2018-05-02,"Spring","No Holiday",0,12,7448,17.45,90.5,1.1,3440,15.3,0,1893,1
"154",2018-05-03,"Spring","No Holiday",0,1,21027,12.05,59.5,2.7,19185,4.15,0.38,1259,1
"155",2018-05-04,"Spring","No Holiday",0,0,26670,13.7,46,2.3,18485,1.45,0.33,967,1
"156",2018-05-05,"Spring","No Holiday",0,0,25353,19.1,51,2.8,18585,4.6,0.285,1487,1
"157",2018-05-06,"Spring","No Holiday",0,22,14556,16.4,84,1,14910,14.35,0.055,1718,1
"158",2018-05-07,"Spring","No Holiday",0,0,28140,18.05,66.5,1,18465,11.45,0.22,1401,1
"159",2018-05-08,"Spring","No Holiday",0,0,26429,16.65,50,1.7,20000,8.1,0.36,1352,1
"160",2018-05-09,"Spring","No Holiday",0,0,28895,16,53,1.45,20000,4.1,0.38,1660,1
"161",2018-05-10,"Spring","No Holiday",0,0,0,14.2,64.5,2.25,10765,8.5,0.345,1838,1
"162",2018-05-11,"Spring","No Holiday",0,0,26649,16.3,55,1.5,5015,9.2,0.08,1280,1
"163",2018-05-12,"Spring","No Holiday",0,31.5,3034,14.7,96.5,0.9,3115,11.55,0.015,1165,1
"164",2018-05-13,"Spring","No Holiday",0,1,25913,15.15,87.5,1.65,8305,12.65,0.18,1336,1
"165",2018-05-14,"Spring","No Holiday",0,0,27793,18.65,69,1.4,3495,11.8,0.27,1224,1
"166",2018-05-15,"Spring","No Holiday",0,0,28478,24.8,54.5,0.9,8370,12.55,0.23,1855,1
"167",2018-05-16,"Spring","No Holiday",0,44.5,6416,22.05,95,1.6,3345,21.2,0.005,2072,1
"168",2018-05-17,"Spring","No Holiday",0,82.5,3521,21.5,97,1,3865,20.15,0,1665,1
"169",2018-05-18,"Spring","No Holiday",0,7.5,16087,16.7,96,1.5,6160,15.85,0.065,943,1
"170",2018-05-19,"Spring","No Holiday",0,0,30994,17.8,40.5,1.4,20000,5.95,0.485,758,1
"171",2018-05-20,"Spring","No Holiday",0,0,27829,16.9,32,1.3,20000,0.35,0.43,1428,1
"172",2018-05-21,"Spring","No Holiday",0,0,31236,17.7,31,1.3,20000,2.5,0.385,1743,1
"173",2018-05-22,"Spring","Holiday",0,9,13790,17.4,70,1.05,13560,12.25,0.095,1948,1
"174",2018-05-23,"Spring","No Holiday",0,10,27674,15.9,59.5,3,19310,8.45,0.48,1563,1
"175",2018-05-24,"Spring","No Holiday",0,0,28781,18.95,48,2,15985,6,0.415,1394,1
"176",2018-05-25,"Spring","No Holiday",0,0,29057,19.3,47.5,1.7,13860,8.05,0.445,1826,1
"177",2018-05-26,"Spring","No Holiday",0,0,28079,21.45,51,1.1,11455,9.35,0.445,1870,1
"178",2018-05-27,"Spring","No Holiday",0,0,28991,19.95,39.5,1.8,17155,8.1,0.305,1782,1
"179",2018-05-28,"Spring","No Holiday",0,0,31020,21.75,45,1.1,17825,10.9,0.405,1765,1
"180",2018-05-29,"Spring","No Holiday",0,1,24355,20.55,64,1.8,11600,15.4,0.19,1951,1
"181",2018-05-30,"Spring","No Holiday",0,0,30372,19.2,73.5,1.7,7215,15.55,0.175,1914,1
"182",2018-05-31,"Spring","No Holiday",0,0,31681,20.95,59,1.85,12110,12.25,0.49,1817,1
"183",2018-06-01,"Summer","No Holiday",0,0,31928,23.3,44.5,1.65,17820,12,0.505,1914,2
"184",2018-06-02,"Summer","No Holiday",0,0,30693,22.7,43.5,1.75,17660,9.9,0.505,1977,2
"185",2018-06-03,"Summer","No Holiday",0,0,29761,23.6,36,1.6,18780,8.35,0.505,1923,2
"186",2018-06-04,"Summer","No Holiday",0,0,33257,22.95,46.5,1.6,17950,10.2,0.29,1899,2
"187",2018-06-05,"Summer","No Holiday",0,0,33424,23.4,51,1.5,13580,12.65,0.445,1975,2
"188",2018-06-06,"Summer","Holiday",0,0,30498,22.5,59.5,2.2,9360,15.25,0.485,2121,2
"189",2018-06-07,"Summer","No Holiday",0,0,32002,21.2,70,1.9,6185,16,0.27,2151,2
"190",2018-06-08,"Summer","No Holiday",0,0,35103,21.2,70,2,11250,15.25,0.38,2044,2
"191",2018-06-09,"Summer","No Holiday",0,0.5,25911,23.05,62,1.4,14245,14.55,0.12,2122,2
"192",2018-06-10,"Summer","No Holiday",0,0.5,29342,21.1,56,1.35,20000,13,0.08,1902,2
"193",2018-06-11,"Summer","No Holiday",0,4,24832,19.8,60,1.3,20000,12.05,0.095,1717,2
"194",2018-06-12,"Summer","No Holiday",0,1,34544,20.85,64.5,1.15,19965,14.1,0.54,1726,2
"195",2018-06-13,"Summer","No Holiday",0,0,36149,21.95,64.5,1.4,14410,14.3,0.435,1917,2
"196",2018-06-14,"Summer","No Holiday",0,29,23818,21.15,72,1,9210,16.2,0.035,2326,2
"197",2018-06-15,"Summer","No Holiday",0,16.5,33492,21.2,55.5,1.4,20000,13.3,0.575,1931,2
"198",2018-06-16,"Summer","No Holiday",0,0,34360,22.45,57,1.45,19485,10.9,0.52,1808,2
"199",2018-06-17,"Summer","No Holiday",0,0,32487,22.6,66.5,1.15,7875,16.2,0.405,2236,2
"200",2018-06-18,"Summer","No Holiday",0,0,27541,24.25,54.5,1.35,9415,15.2,0.465,2191,2
"201",2018-06-19,"Summer","No Holiday",0,0,35349,22,62.5,1.6,11965,14.45,0.3,1983,2
"202",2018-06-20,"Summer","No Holiday",0,0,34639,21.35,72,2.7,8265,16.05,0.36,2090,2
"203",2018-06-21,"Summer","No Holiday",0,0,34621,23.3,59,2.1,10095,14.95,0.415,2285,2
"204",2018-06-22,"Summer","No Holiday",0,0,34079,24.2,34,1.4,16925,10.45,0.49,2131,2
"205",2018-06-23,"Summer","No Holiday",0,0,31949,24.05,45,2,18450,9.65,0.29,2048,2
"206",2018-06-24,"Summer","No Holiday",0,0,27028,24.2,69.5,1.9,6895,17.05,0.305,2221,2
"207",2018-06-25,"Summer","No Holiday",0,0,32702,27.3,55,0.95,9295,17.25,0.345,1987,2
"208",2018-06-26,"Summer","No Holiday",0,71.5,5200,22.9,94,1.45,3500,19.85,0.03,2187,2
"209",2018-06-27,"Summer","No Holiday",0,1,29755,22.5,80,1.9,6170,18.9,0.15,1715,2
"210",2018-06-28,"Summer","No Holiday",0,26.5,21647,22.35,84,0.95,9135,20.2,0.125,1386,2
"211",2018-06-29,"Summer","No Holiday",0,6.5,30297,24.3,78,1.55,5775,20.4,0.19,1944,2
"212",2018-06-30,"Summer","No Holiday",0,14.5,20479,24.05,85,0.75,3825,20.85,0.09,1923,2
"213",2018-07-01,"Summer","No Holiday",0,81,3231,22.1,96,0.7,7825,20.9,0.045,1983,2
"214",2018-07-02,"Summer","No Holiday",0,61.5,5240,22.05,97,0.6,9055,21.45,0.075,1384,2
"215",2018-07-03,"Summer","No Holiday",0,0.6,29293,27.25,74,0.7,19450,22.1,0.455,645,2
"216",2018-07-04,"Summer","No Holiday",0,0,31781,26.75,67.5,1.85,19225,21.3,0.415,1175,2
"217",2018-07-05,"Summer","No Holiday",0,0.5,28182,24.8,73,1.1,13525,20.5,0.15,2003,2
"218",2018-07-06,"Summer","No Holiday",0,0,33676,23.4,58,1.9,20000,15.6,0.29,1929,2
"219",2018-07-07,"Summer","No Holiday",0,0,31076,23,51,1.6,20000,12.65,0.37,1875,2
"220",2018-07-08,"Summer","No Holiday",0,0,30080,24.2,51.5,1.45,20000,11.65,0.3,1970,2
"221",2018-07-09,"Summer","No Holiday",0,8.5,6191,20.65,82.5,1,19055,17.55,0.12,1915,2
"222",2018-07-10,"Summer","No Holiday",0,21.5,20641,23.65,86,0.55,19130,20.3,0.11,1362,2
"223",2018-07-11,"Summer","No Holiday",0,3.5,24135,27,80.5,0.95,12095,23.65,0.1,1088,2
"224",2018-07-12,"Summer","No Holiday",0,1,29428,26.65,80.5,1.55,13990,23.1,0.265,1590,2
"225",2018-07-13,"Summer","No Holiday",0,0,30088,26.95,78,2,16720,22.25,0.25,1770,2
"226",2018-07-14,"Summer","No Holiday",0,0,25814,27.7,69,2,16030,21.65,0.465,1931,2
"227",2018-07-15,"Summer","No Holiday",0,0,22790,27.8,73,1.65,15925,21.75,0.405,1868,2
"228",2018-07-16,"Summer","No Holiday",0,0,26823,28,64,1.6,17900,20.4,0.465,1613,2
"229",2018-07-17,"Summer","No Holiday",0,0,28435,27.7,66.5,1.65,14030,20.7,0.465,1660,2
"230",2018-07-18,"Summer","No Holiday",0,0,27896,27.6,67.5,1.5,9445,20.6,0.47,1860,2
"231",2018-07-19,"Summer","No Holiday",0,0,27820,28.4,63.5,1.75,15490,20.65,0.46,1841,2
"232",2018-07-20,"Summer","No Holiday",0,0,26699,29.3,62,1.35,12300,21.1,0.465,1848,2
"233",2018-07-21,"Summer","No Holiday",0,0,21283,29.9,54.5,1.35,16595,19.9,0.465,1799,2
"234",2018-07-22,"Summer","No Holiday",0,0,18563,31.95,50.5,1.45,18705,19.4,0.38,1594,2
"235",2018-07-23,"Summer","No Holiday",0,0,24890,30.9,52.5,1.8,19265,20.7,0.34,1274,2
"236",2018-07-24,"Summer","No Holiday",0,0,24635,30.65,60,1.35,16880,22,0.38,1435,2
"237",2018-07-25,"Summer","No Holiday",0,0,25918,29.55,66.5,2.5,14490,22.75,0.165,1691,2
"238",2018-07-26,"Summer","No Holiday",0,0,24915,29.45,70.5,1.3,10625,23.35,0.22,1726,2
"239",2018-07-27,"Summer","No Holiday",0,0,23275,30.1,73.5,1.7,9595,24.35,0.325,1763,2
"240",2018-07-28,"Summer","No Holiday",0,7.5,16880,29.05,78.5,1.15,9630,25,0.125,1730,2
"241",2018-07-29,"Summer","No Holiday",0,0,18190,30.85,47.5,1.35,19610,20.25,0.435,1332,2
"242",2018-07-30,"Summer","No Holiday",0,0,23695,32.25,50,1.2,20000,20,0.35,1188,2
"243",2018-07-31,"Summer","No Holiday",0,0,22897,32.15,50.5,1.2,20000,19.95,0.35,1312,2
"244",2018-08-01,"Summer","No Holiday",0,0,20712,32.95,60.5,1.45,19080,22.35,0.37,1510,2
"245",2018-08-02,"Summer","No Holiday",0,0,20693,33.1,52.5,1.55,17680,22.35,0.33,1450,2
"246",2018-08-03,"Summer","No Holiday",0,0,20794,32.15,56.5,1.65,16290,22.85,0.285,1394,2
"247",2018-08-04,"Summer","No Holiday",0,0,18363,30.2,58.5,2.3,18110,22,0.36,1406,2
"248",2018-08-05,"Summer","No Holiday",0,2,17415,29.2,76.5,2.7,15215,24.3,0.115,1394,2
"249",2018-08-06,"Summer","No Holiday",0,6.5,19171,29.95,74,1.45,12920,24.8,0.095,1345,2
"250",2018-08-07,"Summer","No Holiday",0,0,23806,29.95,65.5,1.05,19905,22.15,0.315,1266,2
"251",2018-08-08,"Summer","No Holiday",0,0,23880,29.95,68.5,2.05,16940,23.8,0.28,1461,2
"252",2018-08-09,"Summer","No Holiday",0,2,21644,28.55,79.5,1.65,15670,24.35,0.14,1600,2
"253",2018-08-10,"Summer","No Holiday",0,0,23833,30.7,56.5,1.05,20000,21.2,0.24,1502,2
"254",2018-08-11,"Summer","No Holiday",0,0,20009,31.3,54.5,1.5,20000,20.5,0.215,1489,2
"255",2018-08-12,"Summer","No Holiday",0,5,17498,29.55,57,1.55,20000,20.55,0.135,1397,2
