"","date","rent_count","temperature","rainfall","snowfall","wind_speed","visibility","solar_radiation","dewpoint_temp","humidity","season","holiday","season_no"
"57",2018-01-26,2931,-14.85,0,103,2.5,18840,0,-27.65,34,"Winter","No Holiday",4
"58",2018-01-27,2693,-8.75,0,44,1.25,18485,0,-22.35,39,"Winter","No Holiday",4
"59",2018-01-28,2828,-7.4,0,0,2.45,19865,0,-19.65,35,"Winter","No Holiday",4
"60",2018-01-29,4088,-9.05,0,0,2.9,19650,0,-20.35,39,"Winter","No Holiday",4
"61",2018-01-30,3360,-3.85,2.9,194,1.15,18920,0,-17.3,53,"Winter","No Holiday",4
"62",2018-01-31,3830,-2.2,0,648,1.6,18795,0,-12.2,50.5,"Winter","No Holiday",4
"63",2018-02-01,5377,-4.2,0,217,1.55,19525,0,-15.25,48.5,"Winter","No Holiday",4
"64",2018-02-02,5954,-2.5,0,0,1.5,16765,0,-12.8,55,"Winter","No Holiday",4
"65",2018-02-03,3290,-6.45,0.5,22,4,19765,0,-18.65,44,"Winter","No Holiday",4
"66",2018-02-04,2487,-10,0,0,3.25,19875,0,-20.5,44,"Winter","No Holiday",4
"67",2018-02-05,3932,-10.05,0,0,3.45,20000,0,-22.1,39,"Winter","No Holiday",4
"68",2018-02-06,3988,-10.75,0,0,3.25,19885,0,-23.1,36,"Winter","No Holiday",4
"69",2018-02-07,4697,-7.3,0,0,1.6,18645,0,-20.9,47,"Winter","No Holiday",4
"70",2018-02-08,5613,-4.1,0,0,1.15,16810,0,-15.2,43,"Winter","No Holiday",4
"71",2018-02-09,6268,0.7,0,0,0.9,12190,0,-14.5,40.5,"Winter","No Holiday",4
"72",2018-02-10,4425,1.6,0,0,2.85,5870,0,-4.8,57.5,"Winter","No Holiday",4
"73",2018-02-11,2850,-6.35,0,0,2.7,19855,0,-18,37,"Winter","No Holiday",4
"74",2018-02-12,4813,-5.5,0,0,2.75,19930,0,-17.45,35.5,"Winter","No Holiday",4
"75",2018-02-13,6267,0.35,0,0,3.1,19795,0,-11.15,57,"Winter","No Holiday",4
"76",2018-02-14,6771,2.45,0,0,2.55,14780,0,-4.3,64.5,"Winter","No Holiday",4
"77",2018-02-15,3484,-1.1,0,0,2.45,20000,0,-17.25,30,"Winter","Holiday",4
"78",2018-02-16,2593,-0.95,0,0,1.85,19510,0,-16,38,"Winter","Holiday",4
"79",2018-02-17,3118,-2.75,0,0,2.5,20000,0,-20.8,29,"Winter","Holiday",4
"80",2018-02-18,4562,-0.5,0,0,1.15,20000,0,-18.8,29,"Winter","No Holiday",4
"81",2018-02-19,7604,1.4,0,0,1.55,11240,0,-8.05,43.5,"Winter","No Holiday",4
"82",2018-02-20,7955,0.8,0,0,2.6,15250,0,-13.45,30.5,"Winter","No Holiday",4
"83",2018-02-21,7491,-1.7,0,0,2.2,19975,0,-17.7,31,"Winter","No Holiday",4
"84",2018-02-22,7712,2.8,0,0,2,14230,0,-6.9,57.5,"Winter","No Holiday",4
"85",2018-02-23,5797,4.55,4.1,447,2.05,2420,0,0.25,80.5,"Winter","No Holiday",4
"86",2018-02-24,6356,2.45,0,0,2.6,6855,0.005,-8.25,44.5,"Winter","No Holiday",4
"87",2018-02-25,6500,0.1,0,0,1.8,16965,0.005,-11.7,42.5,"Winter","No Holiday",4
"88",2018-02-26,9247,2.75,0,0,1.1,13085,0.005,-8.85,39.5,"Winter","No Holiday",4
"89",2018-02-27,8862,5.05,0,0,0.8,8420,0,-6.95,46.5,"Winter","No Holiday",4
"90",2018-02-28,3820,5.2,23,0,2.05,5260,0,-1.85,59,"Winter","No Holiday",4
"91",2018-03-01,5132,1.3,2.5,0,3.7,12590,0.005,-9.05,52,"Spring","Holiday",1
"92",2018-03-02,8433,0.2,0,0,1.6,16145,0.01,-15.25,34.5,"Spring","No Holiday",1
"93",2018-03-03,12191,8.75,0,0,1.6,18305,0.005,-11.55,34.5,"Spring","No Holiday",1
"94",2018-03-04,4688,9.7,2.5,0,1.15,3965,0,8.1,89.5,"Spring","No Holiday",1
"95",2018-03-05,8597,5.75,12.5,0,1.95,20000,0.01,0.05,64.5,"Spring","No Holiday",1
"96",2018-03-06,12003,4.1,0,0,1.3,18780,0.01,-6.2,42.5,"Spring","No Holiday",1
"97",2018-03-07,11170,6.6,0,0,1.7,19625,0,-3.7,48,"Spring","No Holiday",1
"98",2018-03-08,7711,4,4.5,0,2.05,6295,0.005,1.25,78,"Spring","No Holiday",1
"99",2018-03-09,11642,3.5,0,0,1.3,10535,0.01,-2.05,67,"Spring","No Holiday",1
"100",2018-03-10,11064,5,0,0,2,9295,0.01,-2,72,"Spring","No Holiday",1
"101",2018-03-11,11843,5.5,0,0,1.9,6550,0.02,-2.4,47,"Spring","No Holiday",1
"102",2018-03-12,13339,7.3,0,0,1.05,7910,0.015,-4.6,46.5,"Spring","No Holiday",1
"103",2018-03-13,15963,13,0,0,1.45,9455,0.02,3.05,58.5,"Spring","No Holiday",1
"104",2018-03-14,19180,16.15,0,0,2.15,18430,0.02,8.4,64.5,"Spring","No Holiday",1
"105",2018-03-15,6227,13.6,27,0,2,4220,0,10.9,97,"Spring","No Holiday",1
"106",2018-03-16,15277,6.7,0,0,1.95,20000,0.03,-3.8,46,"Spring","No Holiday",1
"107",2018-03-17,15389,6.7,0,0,1.35,17775,0.03,-5.35,50.5,"Spring","No Holiday",1
"108",2018-03-18,9609,7.75,0,0,1.15,8365,0.005,-1.7,54.5,"Spring","No Holiday",1
"109",2018-03-19,8968,8.1,1.5,0,2.7,16005,0.005,3.4,64,"Spring","No Holiday",1
"110",2018-03-20,11515,4.8,0,0,3.4,20000,0.02,-6.9,42,"Spring","No Holiday",1
"111",2018-03-21,7384,1.65,1,0,1.85,20000,0,-6.95,47,"Spring","No Holiday",1
"112",2018-03-22,14007,4.2,0,0,2,10990,0.045,-2.25,64,"Spring","No Holiday",1
"113",2018-03-23,14969,5.35,0,0,1.7,7455,0.035,-1.5,61.5,"Spring","No Holiday",1
"114",2018-03-24,12243,6.6,0,0,2.3,4015,0.03,0.85,54,"Spring","No Holiday",1
"115",2018-03-25,10963,8.6,0,0,1.6,2185,0.05,2.25,73.5,"Spring","No Holiday",1
"116",2018-03-26,13084,10.35,0,0,1.9,3145,0.05,4.55,61,"Spring","No Holiday",1
"117",2018-03-27,14710,13.15,0,0,1.4,4635,0.045,4.4,64.5,"Spring","No Holiday",1
"118",2018-03-28,17295,13.9,0,0,1.95,6640,0.05,7.25,68,"Spring","No Holiday",1
"119",2018-03-29,17450,13.95,0,0,1.8,5465,0.06,9.15,70,"Spring","No Holiday",1
"120",2018-03-30,19301,13.7,0,0,1.55,8155,0.065,5,61,"Spring","No Holiday",1
"121",2018-03-31,19247,13.05,0,0,1.65,11530,0.06,4.2,52.5,"Spring","No Holiday",1
"122",2018-04-01,17388,16.5,0,0,1.8,8425,0.015,7.9,69,"Spring","No Holiday",1
"123",2018-04-02,21585,17.45,0,0,1.7,11765,0.055,11.05,66,"Spring","No Holiday",1
"124",2018-04-03,21015,17.3,0,0,2,12845,0.015,12.15,71.5,"Spring","No Holiday",1
"125",2018-04-04,19995,14.2,18.6,0,1.95,20000,0.08,6.15,61.5,"Spring","No Holiday",1
"126",2018-04-05,2596,7.6,10,0,1.95,9045,0,6.5,94.5,"Spring","No Holiday",1
"127",2018-04-06,11520,6.65,7,0,3.2,7620,0.095,2.35,72,"Spring","No Holiday",1
"128",2018-04-07,11159,3.65,0.2,0,3.95,19205,0.135,-6.95,42,"Spring","No Holiday",1
"129",2018-04-08,6666,2.9,3,0,1.75,19970,0.035,-6.95,51,"Spring","No Holiday",1
"130",2018-04-09,19082,8.55,0,0,0.95,11240,0.1,-1.25,49,"Spring","No Holiday",1
"131",2018-04-10,16696,15.5,5,0,2.85,16220,0.055,1.8,45,"Spring","No Holiday",1
"132",2018-04-12,22729,13.45,0,0,2.35,19750,0.19,-2.9,28.5,"Spring","No Holiday",1
"133",2018-04-13,23240,15.95,0,0,1.35,20000,0.085,-7.95,22,"Spring","No Holiday",1
"134",2018-04-14,6980,8.9,9,0,1.65,14470,0.015,5.6,79.5,"Spring","No Holiday",1
"135",2018-04-15,10207,9.3,0,0,2.15,13245,0.17,3.4,65.5,"Spring","No Holiday",1
"136",2018-04-16,23198,10.95,0,0,1.35,18735,0.22,-1.65,34.5,"Spring","No Holiday",1
"137",2018-04-17,22234,11.85,0,0,1.15,16110,0.215,-1.85,31,"Spring","No Holiday",1
"138",2018-04-18,21670,11.7,0,0,1.9,14660,0.2,-2.95,40,"Spring","No Holiday",1
"139",2018-04-19,17730,13.8,0,0,1.7,11730,0.175,-1.05,38.5,"Spring","No Holiday",1
"140",2018-04-20,22593,18.2,0,0,1.25,8075,0.195,5.1,46.5,"Spring","No Holiday",1
"141",2018-04-21,24404,17.95,0,0,1.5,14365,0.28,-1.25,26,"Spring","No Holiday",1
"142",2018-04-22,6852,15.9,13.5,0,0.9,18975,0.065,5.55,44,"Spring","No Holiday",1
"143",2018-04-23,977,9.4,61,0,2.25,5045,0.015,8.5,95,"Spring","No Holiday",1
"144",2018-04-24,20144,11.75,3,0,1.35,20000,0.08,6.75,59.5,"Spring","No Holiday",1
"145",2018-04-25,26285,15,0,0,1.1,19670,0.28,-0.55,35,"Spring","No Holiday",1
"146",2018-04-26,25670,13.7,0,0,2.2,13105,0.255,4.35,52,"Spring","No Holiday",1
"147",2018-04-27,25861,15,0,0,1.5,9795,0.23,4.75,55,"Spring","No Holiday",1
"148",2018-04-28,24940,14.5,0,0,1.75,13900,0.3,3,45.5,"Spring","No Holiday",1
"149",2018-04-29,25349,15.85,0,0,1.7,12300,0.205,2.45,42.5,"Spring","No Holiday",1
"150",2018-04-30,25462,18.75,0,0,1.4,4935,0.155,11.05,60.5,"Spring","No Holiday",1
"151",2018-05-01,26820,20.4,0,0,1.1,4790,0.135,15.2,72.5,"Spring","Holiday",1
"152",2018-05-02,7448,17.45,12,0,1.1,3440,0,15.3,90.5,"Spring","No Holiday",1
"153",2018-05-03,21027,12.05,1,0,2.7,19185,0.38,4.15,59.5,"Spring","No Holiday",1
"154",2018-05-04,26670,13.7,0,0,2.3,18485,0.33,1.45,46,"Spring","No Holiday",1
"155",2018-05-05,25353,19.1,0,0,2.8,18585,0.285,4.6,51,"Spring","No Holiday",1
"156",2018-05-06,14556,16.4,22,0,1,14910,0.055,14.35,84,"Spring","No Holiday",1
"157",2018-05-07,28140,18.05,0,0,1,18465,0.22,11.45,66.5,"Spring","No Holiday",1
"158",2018-05-08,26429,16.65,0,0,1.7,20000,0.36,8.1,50,"Spring","No Holiday",1
"159",2018-05-09,28895,16,0,0,1.45,20000,0.38,4.1,53,"Spring","No Holiday",1
"160",2018-05-11,26649,16.3,0,0,1.5,5015,0.08,9.2,55,"Spring","No Holiday",1
"161",2018-05-12,3034,14.7,31.5,0,0.9,3115,0.015,11.55,96.5,"Spring","No Holiday",1
"162",2018-05-13,25913,15.15,1,0,1.65,8305,0.18,12.65,87.5,"Spring","No Holiday",1
"163",2018-05-14,27793,18.65,0,0,1.4,3495,0.27,11.8,69,"Spring","No Holiday",1
"164",2018-05-15,28478,24.8,0,0,0.9,8370,0.23,12.55,54.5,"Spring","No Holiday",1
"165",2018-05-16,6416,22.05,44.5,0,1.6,3345,0.005,21.2,95,"Spring","No Holiday",1
"166",2018-05-17,3521,21.5,82.5,0,1,3865,0,20.15,97,"Spring","No Holiday",1
"167",2018-05-18,16087,16.7,7.5,0,1.5,6160,0.065,15.85,96,"Spring","No Holiday",1
"168",2018-05-19,30994,17.8,0,0,1.4,20000,0.485,5.95,40.5,"Spring","No Holiday",1
"169",2018-05-20,27829,16.9,0,0,1.3,20000,0.43,0.35,32,"Spring","No Holiday",1
"170",2018-05-21,31236,17.7,0,0,1.3,20000,0.385,2.5,31,"Spring","No Holiday",1
"171",2018-05-22,13790,17.4,9,0,1.05,13560,0.095,12.25,70,"Spring","Holiday",1
"172",2018-05-23,27674,15.9,10,0,3,19310,0.48,8.45,59.5,"Spring","No Holiday",1
"173",2018-05-24,28781,18.95,0,0,2,15985,0.415,6,48,"Spring","No Holiday",1
"174",2018-05-25,29057,19.3,0,0,1.7,13860,0.445,8.05,47.5,"Spring","No Holiday",1
"175",2018-05-26,28079,21.45,0,0,1.1,11455,0.445,9.35,51,"Spring","No Holiday",1
"176",2018-05-27,28991,19.95,0,0,1.8,17155,0.305,8.1,39.5,"Spring","No Holiday",1
"177",2018-05-28,31020,21.75,0,0,1.1,17825,0.405,10.9,45,"Spring","No Holiday",1
"178",2018-05-29,24355,20.55,1,0,1.8,11600,0.19,15.4,64,"Spring","No Holiday",1
"179",2018-05-30,30372,19.2,0,0,1.7,7215,0.175,15.55,73.5,"Spring","No Holiday",1
"180",2018-05-31,31681,20.95,0,0,1.85,12110,0.49,12.25,59,"Spring","No Holiday",1
"181",2018-06-01,31928,23.3,0,0,1.65,17820,0.505,12,44.5,"Summer","No Holiday",2
"182",2018-06-02,30693,22.7,0,0,1.75,17660,0.505,9.9,43.5,"Summer","No Holiday",2
"183",2018-06-03,29761,23.6,0,0,1.6,18780,0.505,8.35,36,"Summer","No Holiday",2
"184",2018-06-04,33257,22.95,0,0,1.6,17950,0.29,10.2,46.5,"Summer","No Holiday",2
"185",2018-06-05,33424,23.4,0,0,1.5,13580,0.445,12.65,51,"Summer","No Holiday",2
"186",2018-06-06,30498,22.5,0,0,2.2,9360,0.485,15.25,59.5,"Summer","Holiday",2
"187",2018-06-07,32002,21.2,0,0,1.9,6185,0.27,16,70,"Summer","No Holiday",2
"188",2018-06-08,35103,21.2,0,0,2,11250,0.38,15.25,70,"Summer","No Holiday",2
"189",2018-06-09,25911,23.05,0.5,0,1.4,14245,0.12,14.55,62,"Summer","No Holiday",2
"190",2018-06-10,29342,21.1,0.5,0,1.35,20000,0.08,13,56,"Summer","No Holiday",2
"191",2018-06-11,24832,19.8,4,0,1.3,20000,0.095,12.05,60,"Summer","No Holiday",2
"192",2018-06-12,34544,20.85,1,0,1.15,19965,0.54,14.1,64.5,"Summer","No Holiday",2
"193",2018-06-13,36149,21.95,0,0,1.4,14410,0.435,14.3,64.5,"Summer","No Holiday",2
"194",2018-06-14,23818,21.15,29,0,1,9210,0.035,16.2,72,"Summer","No Holiday",2
"195",2018-06-15,33492,21.2,16.5,0,1.4,20000,0.575,13.3,55.5,"Summer","No Holiday",2
"196",2018-06-16,34360,22.45,0,0,1.45,19485,0.52,10.9,57,"Summer","No Holiday",2
"197",2018-06-17,32487,22.6,0,0,1.15,7875,0.405,16.2,66.5,"Summer","No Holiday",2
"198",2018-06-18,27541,24.25,0,0,1.35,9415,0.465,15.2,54.5,"Summer","No Holiday",2
"199",2018-06-19,35349,22,0,0,1.6,11965,0.3,14.45,62.5,"Summer","No Holiday",2
"200",2018-06-20,34639,21.35,0,0,2.7,8265,0.36,16.05,72,"Summer","No Holiday",2
"201",2018-06-21,34621,23.3,0,0,2.1,10095,0.415,14.95,59,"Summer","No Holiday",2
"202",2018-06-22,34079,24.2,0,0,1.4,16925,0.49,10.45,34,"Summer","No Holiday",2
"203",2018-06-23,31949,24.05,0,0,2,18450,0.29,9.65,45,"Summer","No Holiday",2
"204",2018-06-24,27028,24.2,0,0,1.9,6895,0.305,17.05,69.5,"Summer","No Holiday",2
"205",2018-06-25,32702,27.3,0,0,0.95,9295,0.345,17.25,55,"Summer","No Holiday",2
"206",2018-06-26,5200,22.9,71.5,0,1.45,3500,0.03,19.85,94,"Summer","No Holiday",2
"207",2018-06-27,29755,22.5,1,0,1.9,6170,0.15,18.9,80,"Summer","No Holiday",2
"208",2018-06-28,21647,22.35,26.5,0,0.95,9135,0.125,20.2,84,"Summer","No Holiday",2
"209",2018-06-29,30297,24.3,6.5,0,1.55,5775,0.19,20.4,78,"Summer","No Holiday",2
"210",2018-06-30,20479,24.05,14.5,0,0.75,3825,0.09,20.85,85,"Summer","No Holiday",2
"211",2018-07-01,3231,22.1,81,0,0.7,7825,0.045,20.9,96,"Summer","No Holiday",2
"212",2018-07-02,5240,22.05,61.5,0,0.6,9055,0.075,21.45,97,"Summer","No Holiday",2
"213",2018-07-03,29293,27.25,0.6,0,0.7,19450,0.455,22.1,74,"Summer","No Holiday",2
"214",2018-07-04,31781,26.75,0,0,1.85,19225,0.415,21.3,67.5,"Summer","No Holiday",2
"215",2018-07-05,28182,24.8,0.5,0,1.1,13525,0.15,20.5,73,"Summer","No Holiday",2
"216",2018-07-06,33676,23.4,0,0,1.9,20000,0.29,15.6,58,"Summer","No Holiday",2
"217",2018-07-07,31076,23,0,0,1.6,20000,0.37,12.65,51,"Summer","No Holiday",2
"218",2018-07-08,30080,24.2,0,0,1.45,20000,0.3,11.65,51.5,"Summer","No Holiday",2
"219",2018-07-09,6191,20.65,8.5,0,1,19055,0.12,17.55,82.5,"Summer","No Holiday",2
"220",2018-07-10,20641,23.65,21.5,0,0.55,19130,0.11,20.3,86,"Summer","No Holiday",2
"221",2018-07-11,24135,27,3.5,0,0.95,12095,0.1,23.65,80.5,"Summer","No Holiday",2
"222",2018-07-12,29428,26.65,1,0,1.55,13990,0.265,23.1,80.5,"Summer","No Holiday",2
"223",2018-07-13,30088,26.95,0,0,2,16720,0.25,22.25,78,"Summer","No Holiday",2
"224",2018-07-14,25814,27.7,0,0,2,16030,0.465,21.65,69,"Summer","No Holiday",2
"225",2018-07-15,22790,27.8,0,0,1.65,15925,0.405,21.75,73,"Summer","No Holiday",2
"226",2018-07-16,26823,28,0,0,1.6,17900,0.465,20.4,64,"Summer","No Holiday",2
"227",2018-07-17,28435,27.7,0,0,1.65,14030,0.465,20.7,66.5,"Summer","No Holiday",2
"228",2018-07-18,27896,27.6,0,0,1.5,9445,0.47,20.6,67.5,"Summer","No Holiday",2
"229",2018-07-19,27820,28.4,0,0,1.75,15490,0.46,20.65,63.5,"Summer","No Holiday",2
"230",2018-07-20,26699,29.3,0,0,1.35,12300,0.465,21.1,62,"Summer","No Holiday",2
"231",2018-07-21,21283,29.9,0,0,1.35,16595,0.465,19.9,54.5,"Summer","No Holiday",2
"232",2018-07-22,18563,31.95,0,0,1.45,18705,0.38,19.4,50.5,"Summer","No Holiday",2
"233",2018-07-23,24890,30.9,0,0,1.8,19265,0.34,20.7,52.5,"Summer","No Holiday",2
"234",2018-07-24,24635,30.65,0,0,1.35,16880,0.38,22,60,"Summer","No Holiday",2
"235",2018-07-25,25918,29.55,0,0,2.5,14490,0.165,22.75,66.5,"Summer","No Holiday",2
"236",2018-07-26,24915,29.45,0,0,1.3,10625,0.22,23.35,70.5,"Summer","No Holiday",2
"237",2018-07-27,23275,30.1,0,0,1.7,9595,0.325,24.35,73.5,"Summer","No Holiday",2
"238",2018-07-28,16880,29.05,7.5,0,1.15,9630,0.125,25,78.5,"Summer","No Holiday",2
"239",2018-07-29,18190,30.85,0,0,1.35,19610,0.435,20.25,47.5,"Summer","No Holiday",2
"240",2018-07-30,23695,32.25,0,0,1.2,20000,0.35,20,50,"Summer","No Holiday",2
"241",2018-07-31,22897,32.15,0,0,1.2,20000,0.35,19.95,50.5,"Summer","No Holiday",2
"242",2018-08-01,20712,32.95,0,0,1.45,19080,0.37,22.35,60.5,"Summer","No Holiday",2
"243",2018-08-02,20693,33.1,0,0,1.55,17680,0.33,22.35,52.5,"Summer","No Holiday",2
"244",2018-08-03,20794,32.15,0,0,1.65,16290,0.285,22.85,56.5,"Summer","No Holiday",2
"245",2018-08-04,18363,30.2,0,0,2.3,18110,0.36,22,58.5,"Summer","No Holiday",2
"246",2018-08-05,17415,29.2,2,0,2.7,15215,0.115,24.3,76.5,"Summer","No Holiday",2
"247",2018-08-06,19171,29.95,6.5,0,1.45,12920,0.095,24.8,74,"Summer","No Holiday",2
"248",2018-08-07,23806,29.95,0,0,1.05,19905,0.315,22.15,65.5,"Summer","No Holiday",2
"249",2018-08-08,23880,29.95,0,0,2.05,16940,0.28,23.8,68.5,"Summer","No Holiday",2
"250",2018-08-09,21644,28.55,2,0,1.65,15670,0.14,24.35,79.5,"Summer","No Holiday",2
"251",2018-08-10,23833,30.7,0,0,1.05,20000,0.24,21.2,56.5,"Summer","No Holiday",2
"252",2018-08-11,20009,31.3,0,0,1.5,20000,0.215,20.5,54.5,"Summer","No Holiday",2
"253",2018-08-12,17498,29.55,5,0,1.55,20000,0.135,20.55,57,"Summer","No Holiday",2
"254",2018-08-13,22827,30.15,1,0,1.2,14320,0.235,23.5,65,"Summer","No Holiday",2
"255",2018-08-14,23836,31.15,0,0,1.35,20000,0.23,22.2,59,"Summer","No Holiday",2
"256",2018-08-15,18565,29.75,1,0,1,19505,0.14,22.25,67,"Summer","Holiday",2
"257",2018-08-16,25329,28.3,0,0,1.95,20000,0.25,20.4,47.5,"Summer","No Holiday",2
"258",2018-08-17,28820,26.5,0,0,1.8,20000,0.285,11.5,41.5,"Summer","No Holiday",2
"259",2018-08-18,26398,26.55,0,0,1.3,20000,0.23,13.1,46.5,"Summer","No Holiday",2
"260",2018-08-19,24547,27.6,0,0,0.95,20000,0.165,15.6,56,"Summer","No Holiday",2
"261",2018-08-20,26827,29.15,0,0,1.9,18655,0.11,18.9,57.5,"Summer","No Holiday",2
"262",2018-08-21,25133,26.8,5,0,2.6,18935,0.145,20.75,69.5,"Summer","No Holiday",2
"263",2018-08-22,26072,31.65,0,0,1,19920,0.205,19.9,50.5,"Summer","No Holiday",2
"264",2018-08-23,15958,29.85,2.5,0,1.75,20000,0.02,20,55,"Summer","No Holiday",2
"265",2018-08-24,11658,24.55,8,0,2.45,19925,0.045,22,85,"Summer","No Holiday",2
"266",2018-08-25,27302,24.35,0,0,2.4,19235,0.175,18.75,71.5,"Summer","No Holiday",2
"267",2018-08-26,19310,22.6,2,0,1.05,19875,0.095,17.4,69,"Summer","No Holiday",2
"268",2018-08-27,14435,22.3,19.5,0,0.8,12010,0.06,21.2,89.5,"Summer","No Holiday",2
