"","date","season","holiday","snowfall","rainfall","rent_count","temperature","humidity","wind_speed","visibility","dewpoint_temp","solar_radiation","rep_count"
"65",2018-02-03,"Winter","No Holiday",22,0.5,3290,-6.45,44,4,19765,-18.65,0,596
"66",2018-02-04,"Winter","No Holiday",0,0,2487,-10,44,3.25,19875,-20.5,0,530
"67",2018-02-05,"Winter","No Holiday",0,0,3932,-10.05,39,3.45,20000,-22.1,0,385
"68",2018-02-06,"Winter","No Holiday",0,0,3988,-10.75,36,3.25,19885,-23.1,0,364
"69",2018-02-07,"Winter","No Holiday",0,0,4697,-7.3,47,1.6,18645,-20.9,0,439
"70",2018-02-08,"Winter","No Holiday",0,0,5613,-4.1,43,1.15,16810,-15.2,0,481
"71",2018-02-09,"Winter","No Holiday",0,0,6268,0.7,40.5,0.9,12190,-14.5,0,613
"72",2018-02-10,"Winter","No Holiday",0,0,4425,1.6,57.5,2.85,5870,-4.8,0,755
"73",2018-02-11,"Winter","No Holiday",0,0,2850,-6.35,37,2.7,19855,-18,0,537
"74",2018-02-12,"Winter","No Holiday",0,0,4813,-5.5,35.5,2.75,19930,-17.45,0,438
"75",2018-02-13,"Winter","No Holiday",0,0,6267,0.35,57,3.1,19795,-11.15,0,413
"76",2018-02-14,"Winter","No Holiday",0,0,6771,2.45,64.5,2.55,14780,-4.3,0,603
"77",2018-02-15,"Winter","Holiday",0,0,3484,-1.1,30,2.45,20000,-17.25,0,570
"78",2018-02-16,"Winter","Holiday",0,0,2593,-0.95,38,1.85,19510,-16,0,507
"79",2018-02-17,"Winter","Holiday",0,0,3118,-2.75,29,2.5,20000,-20.8,0,395
"80",2018-02-18,"Winter","No Holiday",0,0,4562,-0.5,29,1.15,20000,-18.8,0,325
"81",2018-02-19,"Winter","No Holiday",0,0,7604,1.4,43.5,1.55,11240,-8.05,0,536
"82",2018-02-20,"Winter","No Holiday",0,0,7955,0.8,30.5,2.6,15250,-13.45,0,579
"83",2018-02-21,"Winter","No Holiday",0,0,7491,-1.7,31,2.2,19975,-17.7,0,621
"84",2018-02-22,"Winter","No Holiday",0,0,7712,2.8,57.5,2,14230,-6.9,0,710
"85",2018-02-23,"Winter","No Holiday",447,4.1,5797,4.55,80.5,2.05,2420,0.25,0,1334
"86",2018-02-24,"Winter","No Holiday",0,0,6356,2.45,44.5,2.6,6855,-8.25,0.005,1069
"87",2018-02-25,"Winter","No Holiday",0,0,6500,0.1,42.5,1.8,16965,-11.7,0.005,707
"88",2018-02-26,"Winter","No Holiday",0,0,9247,2.75,39.5,1.1,13085,-8.85,0.005,684
"89",2018-02-27,"Winter","No Holiday",0,0,8862,5.05,46.5,0.8,8420,-6.95,0,793
"90",2018-02-28,"Winter","No Holiday",0,23,3820,5.2,59,2.05,5260,-1.85,0,990
"91",2018-03-01,"Spring","Holiday",0,2.5,5132,1.3,52,3.7,12590,-9.05,0.005,695
"92",2018-03-02,"Spring","No Holiday",0,0,8433,0.2,34.5,1.6,16145,-15.25,0.01,451
"93",2018-03-03,"Spring","No Holiday",0,0,12191,8.75,34.5,1.6,18305,-11.55,0.005,535
"94",2018-03-04,"Spring","No Holiday",0,2.5,4688,9.7,89.5,1.15,3965,8.1,0,1002
"95",2018-03-05,"Spring","No Holiday",0,12.5,8597,5.75,64.5,1.95,20000,0.05,0.01,714
"96",2018-03-06,"Spring","No Holiday",0,0,12003,4.1,42.5,1.3,18780,-6.2,0.01,556
"97",2018-03-07,"Spring","No Holiday",0,0,11170,6.6,48,1.7,19625,-3.7,0,719
"98",2018-03-08,"Spring","No Holiday",0,4.5,7711,4,78,2.05,6295,1.25,0.005,1034
"99",2018-03-09,"Spring","No Holiday",0,0,11642,3.5,67,1.3,10535,-2.05,0.01,849
"100",2018-03-10,"Spring","No Holiday",0,0,11064,5,72,2,9295,-2,0.01,878
"101",2018-03-11,"Spring","No Holiday",0,0,11843,5.5,47,1.9,6550,-2.4,0.02,990
"102",2018-03-12,"Spring","No Holiday",0,0,13339,7.3,46.5,1.05,7910,-4.6,0.015,934
"103",2018-03-13,"Spring","No Holiday",0,0,15963,13,58.5,1.45,9455,3.05,0.02,967
"104",2018-03-14,"Spring","No Holiday",0,0,19180,16.15,64.5,2.15,18430,8.4,0.02,1031
"105",2018-03-15,"Spring","No Holiday",0,27,6227,13.6,97,2,4220,10.9,0,1425
"106",2018-03-16,"Spring","No Holiday",0,0,15277,6.7,46,1.95,20000,-3.8,0.03,991
"107",2018-03-17,"Spring","No Holiday",0,0,15389,6.7,50.5,1.35,17775,-5.35,0.03,812
"108",2018-03-18,"Spring","No Holiday",0,0,9609,7.75,54.5,1.15,8365,-1.7,0.005,1178
"109",2018-03-19,"Spring","No Holiday",0,1.5,8968,8.1,64,2.7,16005,3.4,0.005,929
"110",2018-03-20,"Spring","No Holiday",0,0,11515,4.8,42,3.4,20000,-6.9,0.02,663
"111",2018-03-21,"Spring","No Holiday",0,1,7384,1.65,47,1.85,20000,-6.95,0,704
"112",2018-03-22,"Spring","No Holiday",0,0,14007,4.2,64,2,10990,-2.25,0.045,779
"113",2018-03-23,"Spring","No Holiday",0,0,14969,5.35,61.5,1.7,7455,-1.5,0.035,926
"114",2018-03-24,"Spring","No Holiday",0,0,12243,6.6,54,2.3,4015,0.85,0.03,1208
"115",2018-03-25,"Spring","No Holiday",0,0,10963,8.6,73.5,1.6,2185,2.25,0.05,1216
"116",2018-03-26,"Spring","No Holiday",0,0,13084,10.35,61,1.9,3145,4.55,0.05,1081
"117",2018-03-27,"Spring","No Holiday",0,0,14710,13.15,64.5,1.4,4635,4.4,0.045,1047
"118",2018-03-28,"Spring","No Holiday",0,0,17295,13.9,68,1.95,6640,7.25,0.05,1149
"119",2018-03-29,"Spring","No Holiday",0,0,17450,13.95,70,1.8,5465,9.15,0.06,1277
"120",2018-03-30,"Spring","No Holiday",0,0,19301,13.7,61,1.55,8155,5,0.065,1323
"121",2018-03-31,"Spring","No Holiday",0,0,19247,13.05,52.5,1.65,11530,4.2,0.06,1301
"122",2018-04-01,"Spring","No Holiday",0,0,17388,16.5,69,1.8,8425,7.9,0.015,1439
"123",2018-04-02,"Spring","No Holiday",0,0,21585,17.45,66,1.7,11765,11.05,0.055,1341
"124",2018-04-03,"Spring","No Holiday",0,0,21015,17.3,71.5,2,12845,12.15,0.015,1412
"125",2018-04-04,"Spring","No Holiday",0,18.6,19995,14.2,61.5,1.95,20000,6.15,0.08,1392
"126",2018-04-05,"Spring","No Holiday",0,10,2596,7.6,94.5,1.95,9045,6.5,0,1564
"127",2018-04-06,"Spring","No Holiday",0,7,11520,6.65,72,3.2,7620,2.35,0.095,1156
"128",2018-04-07,"Spring","No Holiday",0,0.2,11159,3.65,42,3.95,19205,-6.95,0.135,623
"129",2018-04-08,"Spring","No Holiday",0,3,6666,2.9,51,1.75,19970,-6.95,0.035,783
"130",2018-04-09,"Spring","No Holiday",0,0,19082,8.55,49,0.95,11240,-1.25,0.1,733
"131",2018-04-10,"Spring","No Holiday",0,5,16696,15.5,45,2.85,16220,1.8,0.055,869
"132",2018-04-11,"Spring","No Holiday",0,0,0,12.95,45.5,3.25,14775,3,0.165,1238
"133",2018-04-12,"Spring","No Holiday",0,0,22729,13.45,28.5,2.35,19750,-2.9,0.19,650
"134",2018-04-13,"Spring","No Holiday",0,0,23240,15.95,22,1.35,20000,-7.95,0.085,691
"135",2018-04-14,"Spring","No Holiday",0,9,6980,8.9,79.5,1.65,14470,5.6,0.015,1538
"136",2018-04-15,"Spring","No Holiday",0,0,10207,9.3,65.5,2.15,13245,3.4,0.17,1134
"137",2018-04-16,"Spring","No Holiday",0,0,23198,10.95,34.5,1.35,18735,-1.65,0.22,659
"138",2018-04-17,"Spring","No Holiday",0,0,22234,11.85,31,1.15,16110,-1.85,0.215,1074
"139",2018-04-18,"Spring","No Holiday",0,0,21670,11.7,40,1.9,14660,-2.95,0.2,1443
"140",2018-04-19,"Spring","No Holiday",0,0,17730,13.8,38.5,1.7,11730,-1.05,0.175,1464
"141",2018-04-20,"Spring","No Holiday",0,0,22593,18.2,46.5,1.25,8075,5.1,0.195,1378
"142",2018-04-21,"Spring","No Holiday",0,0,24404,17.95,26,1.5,14365,-1.25,0.28,1276
"143",2018-04-22,"Spring","No Holiday",0,13.5,6852,15.9,44,0.9,18975,5.55,0.065,1463
"144",2018-04-23,"Spring","No Holiday",0,61,977,9.4,95,2.25,5045,8.5,0.015,1361
"145",2018-04-24,"Spring","No Holiday",0,3,20144,11.75,59.5,1.35,20000,6.75,0.08,543
"146",2018-04-25,"Spring","No Holiday",0,0,26285,15,35,1.1,19670,-0.55,0.28,759
"147",2018-04-26,"Spring","No Holiday",0,0,25670,13.7,52,2.2,13105,4.35,0.255,1541
"148",2018-04-27,"Spring","No Holiday",0,0,25861,15,55,1.5,9795,4.75,0.23,1718
"149",2018-04-28,"Spring","No Holiday",0,0,24940,14.5,45.5,1.75,13900,3,0.3,1664
"150",2018-04-29,"Spring","No Holiday",0,0,25349,15.85,42.5,1.7,12300,2.45,0.205,1674
"151",2018-04-30,"Spring","No Holiday",0,0,25462,18.75,60.5,1.4,4935,11.05,0.155,1729
"152",2018-05-01,"Spring","Holiday",0,0,26820,20.4,72.5,1.1,4790,15.2,0.135,1811
"153",2018-05-02,"Spring","No Holiday",0,12,7448,17.45,90.5,1.1,3440,15.3,0,1893
"154",2018-05-03,"Spring","No Holiday",0,1,21027,12.05,59.5,2.7,19185,4.15,0.38,1259
"155",2018-05-04,"Spring","No Holiday",0,0,26670,13.7,46,2.3,18485,1.45,0.33,967
"156",2018-05-05,"Spring","No Holiday",0,0,25353,19.1,51,2.8,18585,4.6,0.285,1487
"157",2018-05-06,"Spring","No Holiday",0,22,14556,16.4,84,1,14910,14.35,0.055,1718
"158",2018-05-07,"Spring","No Holiday",0,0,28140,18.05,66.5,1,18465,11.45,0.22,1401
"159",2018-05-08,"Spring","No Holiday",0,0,26429,16.65,50,1.7,20000,8.1,0.36,1352
"160",2018-05-09,"Spring","No Holiday",0,0,28895,16,53,1.45,20000,4.1,0.38,1660
"161",2018-05-10,"Spring","No Holiday",0,0,0,14.2,64.5,2.25,10765,8.5,0.345,1838
"162",2018-05-11,"Spring","No Holiday",0,0,26649,16.3,55,1.5,5015,9.2,0.08,1280
"163",2018-05-12,"Spring","No Holiday",0,31.5,3034,14.7,96.5,0.9,3115,11.55,0.015,1165
"164",2018-05-13,"Spring","No Holiday",0,1,25913,15.15,87.5,1.65,8305,12.65,0.18,1336
"165",2018-05-14,"Spring","No Holiday",0,0,27793,18.65,69,1.4,3495,11.8,0.27,1224
"166",2018-05-15,"Spring","No Holiday",0,0,28478,24.8,54.5,0.9,8370,12.55,0.23,1855
"167",2018-05-16,"Spring","No Holiday",0,44.5,6416,22.05,95,1.6,3345,21.2,0.005,2072
"168",2018-05-17,"Spring","No Holiday",0,82.5,3521,21.5,97,1,3865,20.15,0,1665
"169",2018-05-18,"Spring","No Holiday",0,7.5,16087,16.7,96,1.5,6160,15.85,0.065,943
"170",2018-05-19,"Spring","No Holiday",0,0,30994,17.8,40.5,1.4,20000,5.95,0.485,758
"171",2018-05-20,"Spring","No Holiday",0,0,27829,16.9,32,1.3,20000,0.35,0.43,1428
"172",2018-05-21,"Spring","No Holiday",0,0,31236,17.7,31,1.3,20000,2.5,0.385,1743
"173",2018-05-22,"Spring","Holiday",0,9,13790,17.4,70,1.05,13560,12.25,0.095,1948
"174",2018-05-23,"Spring","No Holiday",0,10,27674,15.9,59.5,3,19310,8.45,0.48,1563
"175",2018-05-24,"Spring","No Holiday",0,0,28781,18.95,48,2,15985,6,0.415,1394
"176",2018-05-25,"Spring","No Holiday",0,0,29057,19.3,47.5,1.7,13860,8.05,0.445,1826
"177",2018-05-26,"Spring","No Holiday",0,0,28079,21.45,51,1.1,11455,9.35,0.445,1870
"178",2018-05-27,"Spring","No Holiday",0,0,28991,19.95,39.5,1.8,17155,8.1,0.305,1782
"179",2018-05-28,"Spring","No Holiday",0,0,31020,21.75,45,1.1,17825,10.9,0.405,1765
"180",2018-05-29,"Spring","No Holiday",0,1,24355,20.55,64,1.8,11600,15.4,0.19,1951
"181",2018-05-30,"Spring","No Holiday",0,0,30372,19.2,73.5,1.7,7215,15.55,0.175,1914
"182",2018-05-31,"Spring","No Holiday",0,0,31681,20.95,59,1.85,12110,12.25,0.49,1817
"183",2018-06-01,"Summer","No Holiday",0,0,31928,23.3,44.5,1.65,17820,12,0.505,1914
"184",2018-06-02,"Summer","No Holiday",0,0,30693,22.7,43.5,1.75,17660,9.9,0.505,1977
"185",2018-06-03,"Summer","No Holiday",0,0,29761,23.6,36,1.6,18780,8.35,0.505,1923
"186",2018-06-04,"Summer","No Holiday",0,0,33257,22.95,46.5,1.6,17950,10.2,0.29,1899
"187",2018-06-05,"Summer","No Holiday",0,0,33424,23.4,51,1.5,13580,12.65,0.445,1975
"188",2018-06-06,"Summer","Holiday",0,0,30498,22.5,59.5,2.2,9360,15.25,0.485,2121
"189",2018-06-07,"Summer","No Holiday",0,0,32002,21.2,70,1.9,6185,16,0.27,2151
"190",2018-06-08,"Summer","No Holiday",0,0,35103,21.2,70,2,11250,15.25,0.38,2044
"191",2018-06-09,"Summer","No Holiday",0,0.5,25911,23.05,62,1.4,14245,14.55,0.12,2122
"192",2018-06-10,"Summer","No Holiday",0,0.5,29342,21.1,56,1.35,20000,13,0.08,1902
"193",2018-06-11,"Summer","No Holiday",0,4,24832,19.8,60,1.3,20000,12.05,0.095,1717
"194",2018-06-12,"Summer","No Holiday",0,1,34544,20.85,64.5,1.15,19965,14.1,0.54,1726
"195",2018-06-13,"Summer","No Holiday",0,0,36149,21.95,64.5,1.4,14410,14.3,0.435,1917
"196",2018-06-14,"Summer","No Holiday",0,29,23818,21.15,72,1,9210,16.2,0.035,2326
"197",2018-06-15,"Summer","No Holiday",0,16.5,33492,21.2,55.5,1.4,20000,13.3,0.575,1931
"198",2018-06-16,"Summer","No Holiday",0,0,34360,22.45,57,1.45,19485,10.9,0.52,1808
"199",2018-06-17,"Summer","No Holiday",0,0,32487,22.6,66.5,1.15,7875,16.2,0.405,2236
"200",2018-06-18,"Summer","No Holiday",0,0,27541,24.25,54.5,1.35,9415,15.2,0.465,2191
"201",2018-06-19,"Summer","No Holiday",0,0,35349,22,62.5,1.6,11965,14.45,0.3,1983
"202",2018-06-20,"Summer","No Holiday",0,0,34639,21.35,72,2.7,8265,16.05,0.36,2090
"203",2018-06-21,"Summer","No Holiday",0,0,34621,23.3,59,2.1,10095,14.95,0.415,2285
"204",2018-06-22,"Summer","No Holiday",0,0,34079,24.2,34,1.4,16925,10.45,0.49,2131
"205",2018-06-23,"Summer","No Holiday",0,0,31949,24.05,45,2,18450,9.65,0.29,2048
"206",2018-06-24,"Summer","No Holiday",0,0,27028,24.2,69.5,1.9,6895,17.05,0.305,2221
"207",2018-06-25,"Summer","No Holiday",0,0,32702,27.3,55,0.95,9295,17.25,0.345,1987
"208",2018-06-26,"Summer","No Holiday",0,71.5,5200,22.9,94,1.45,3500,19.85,0.03,2187
"209",2018-06-27,"Summer","No Holiday",0,1,29755,22.5,80,1.9,6170,18.9,0.15,1715
"210",2018-06-28,"Summer","No Holiday",0,26.5,21647,22.35,84,0.95,9135,20.2,0.125,1386
"211",2018-06-29,"Summer","No Holiday",0,6.5,30297,24.3,78,1.55,5775,20.4,0.19,1944
"212",2018-06-30,"Summer","No Holiday",0,14.5,20479,24.05,85,0.75,3825,20.85,0.09,1923
"213",2018-07-01,"Summer","No Holiday",0,81,3231,22.1,96,0.7,7825,20.9,0.045,1983
"214",2018-07-02,"Summer","No Holiday",0,61.5,5240,22.05,97,0.6,9055,21.45,0.075,1384
"215",2018-07-03,"Summer","No Holiday",0,0.6,29293,27.25,74,0.7,19450,22.1,0.455,645
"216",2018-07-04,"Summer","No Holiday",0,0,31781,26.75,67.5,1.85,19225,21.3,0.415,1175
"217",2018-07-05,"Summer","No Holiday",0,0.5,28182,24.8,73,1.1,13525,20.5,0.15,2003
"218",2018-07-06,"Summer","No Holiday",0,0,33676,23.4,58,1.9,20000,15.6,0.29,1929
"219",2018-07-07,"Summer","No Holiday",0,0,31076,23,51,1.6,20000,12.65,0.37,1875
"220",2018-07-08,"Summer","No Holiday",0,0,30080,24.2,51.5,1.45,20000,11.65,0.3,1970
"221",2018-07-09,"Summer","No Holiday",0,8.5,6191,20.65,82.5,1,19055,17.55,0.12,1915
"222",2018-07-10,"Summer","No Holiday",0,21.5,20641,23.65,86,0.55,19130,20.3,0.11,1362
"223",2018-07-11,"Summer","No Holiday",0,3.5,24135,27,80.5,0.95,12095,23.65,0.1,1088
"224",2018-07-12,"Summer","No Holiday",0,1,29428,26.65,80.5,1.55,13990,23.1,0.265,1590
"225",2018-07-13,"Summer","No Holiday",0,0,30088,26.95,78,2,16720,22.25,0.25,1770
"226",2018-07-14,"Summer","No Holiday",0,0,25814,27.7,69,2,16030,21.65,0.465,1931
"227",2018-07-15,"Summer","No Holiday",0,0,22790,27.8,73,1.65,15925,21.75,0.405,1868
"228",2018-07-16,"Summer","No Holiday",0,0,26823,28,64,1.6,17900,20.4,0.465,1613
"229",2018-07-17,"Summer","No Holiday",0,0,28435,27.7,66.5,1.65,14030,20.7,0.465,1660
"230",2018-07-18,"Summer","No Holiday",0,0,27896,27.6,67.5,1.5,9445,20.6,0.47,1860
"231",2018-07-19,"Summer","No Holiday",0,0,27820,28.4,63.5,1.75,15490,20.65,0.46,1841
"232",2018-07-20,"Summer","No Holiday",0,0,26699,29.3,62,1.35,12300,21.1,0.465,1848
"233",2018-07-21,"Summer","No Holiday",0,0,21283,29.9,54.5,1.35,16595,19.9,0.465,1799
"234",2018-07-22,"Summer","No Holiday",0,0,18563,31.95,50.5,1.45,18705,19.4,0.38,1594
"235",2018-07-23,"Summer","No Holiday",0,0,24890,30.9,52.5,1.8,19265,20.7,0.34,1274
"236",2018-07-24,"Summer","No Holiday",0,0,24635,30.65,60,1.35,16880,22,0.38,1435
"237",2018-07-25,"Summer","No Holiday",0,0,25918,29.55,66.5,2.5,14490,22.75,0.165,1691
"238",2018-07-26,"Summer","No Holiday",0,0,24915,29.45,70.5,1.3,10625,23.35,0.22,1726
"239",2018-07-27,"Summer","No Holiday",0,0,23275,30.1,73.5,1.7,9595,24.35,0.325,1763
"240",2018-07-28,"Summer","No Holiday",0,7.5,16880,29.05,78.5,1.15,9630,25,0.125,1730
"241",2018-07-29,"Summer","No Holiday",0,0,18190,30.85,47.5,1.35,19610,20.25,0.435,1332
"242",2018-07-30,"Summer","No Holiday",0,0,23695,32.25,50,1.2,20000,20,0.35,1188
"243",2018-07-31,"Summer","No Holiday",0,0,22897,32.15,50.5,1.2,20000,19.95,0.35,1312
"244",2018-08-01,"Summer","No Holiday",0,0,20712,32.95,60.5,1.45,19080,22.35,0.37,1510
"245",2018-08-02,"Summer","No Holiday",0,0,20693,33.1,52.5,1.55,17680,22.35,0.33,1450
"246",2018-08-03,"Summer","No Holiday",0,0,20794,32.15,56.5,1.65,16290,22.85,0.285,1394
"247",2018-08-04,"Summer","No Holiday",0,0,18363,30.2,58.5,2.3,18110,22,0.36,1406
"248",2018-08-05,"Summer","No Holiday",0,2,17415,29.2,76.5,2.7,15215,24.3,0.115,1394
"249",2018-08-06,"Summer","No Holiday",0,6.5,19171,29.95,74,1.45,12920,24.8,0.095,1345
"250",2018-08-07,"Summer","No Holiday",0,0,23806,29.95,65.5,1.05,19905,22.15,0.315,1266
"251",2018-08-08,"Summer","No Holiday",0,0,23880,29.95,68.5,2.05,16940,23.8,0.28,1461
"252",2018-08-09,"Summer","No Holiday",0,2,21644,28.55,79.5,1.65,15670,24.35,0.14,1600
"253",2018-08-10,"Summer","No Holiday",0,0,23833,30.7,56.5,1.05,20000,21.2,0.24,1502
"254",2018-08-11,"Summer","No Holiday",0,0,20009,31.3,54.5,1.5,20000,20.5,0.215,1489
"255",2018-08-12,"Summer","No Holiday",0,5,17498,29.55,57,1.55,20000,20.55,0.135,1397
"256",2018-08-13,"Summer","No Holiday",0,1,22827,30.15,65,1.2,14320,23.5,0.235,1319
"257",2018-08-14,"Summer","No Holiday",0,0,23836,31.15,59,1.35,20000,22.2,0.23,1316
"258",2018-08-15,"Summer","Holiday",0,1,18565,29.75,67,1,19505,22.25,0.14,1501
"259",2018-08-16,"Summer","No Holiday",0,0,25329,28.3,47.5,1.95,20000,20.4,0.25,1425
"260",2018-08-17,"Summer","No Holiday",0,0,28820,26.5,41.5,1.8,20000,11.5,0.285,1393
"261",2018-08-18,"Summer","No Holiday",0,0,26398,26.55,46.5,1.3,20000,13.1,0.23,1662
"262",2018-08-19,"Summer","No Holiday",0,0,24547,27.6,56,0.95,20000,15.6,0.165,1707
"263",2018-08-20,"Summer","No Holiday",0,0,26827,29.15,57.5,1.9,18655,18.9,0.11,1624
"264",2018-08-21,"Summer","No Holiday",0,5,25133,26.8,69.5,2.6,18935,20.75,0.145,1653
"265",2018-08-22,"Summer","No Holiday",0,0,26072,31.65,50.5,1,19920,19.9,0.205,1641
