"","hour","rent_count","temperature","humidity","wind_speed","visibility","solar_radiation","rainfall","snowfall"
"89",16,375,-0.2,23,4.7,20000,0.55,0,0
"90",17,515,-1.3,26,5.3,20000,0.18,0,0
"91",18,807,-2.1,29,3.9,20000,0,0,0
"92",19,568,-2.9,32,3.2,20000,0,0,0
"93",20,398,-3.6,38,3,20000,0,0,0
"94",21,397,-4.6,43,4.5,20000,0,0,0
"95",22,353,-5.3,45,2.5,20000,0,0,0
"96",23,248,-5.8,44,2.4,20000,0,0,0
"97",0,216,-6.1,42,2.6,20000,0,0,0
"98",1,198,-6.5,41,2.8,20000,0,0,0
"99",2,124,-6.8,41,2.5,20000,0,0,0
"100",3,62,-6.9,39,2,20000,0,0,0
"101",4,42,-7.2,34,3,20000,0,0,0
"102",5,82,-7.4,33,2.6,20000,0,0,0
"103",6,172,-7.4,34,3.2,20000,0,0,0
"104",7,381,-7.5,33,2.2,20000,0,0,0
"105",8,812,-8.1,36,1.6,20000,0.01,0,0
"106",9,462,-7.6,31,1.3,19740,0.21,0,0
"107",10,269,-5.5,26,2.8,19670,0.64,0,0
"108",11,334,-3.9,25,0,19590,0,0,0
"109",12,321,-2.3,25,0,19620,0,0,0
"110",13,325,-1.6,27,0,19550,0,0,0
"111",14,334,-1.1,28,0,20000,0,0,0
"112",15,353,-0.7,28,0,20000,0,0,0
"113",16,435,-0.5,30,0,20000,0,0,0
"114",17,529,-1.6,35,0,20000,0,0,0
"115",18,789,-2.6,40,0,20000,0,0,0
"116",19,597,-3.2,45,0,20000,0,0,0
"117",20,418,-3.5,46,0,20000,0,0,0
"118",21,415,-3.7,47,0,20000,0,0,0
"119",22,393,-2.8,49,0,20000,0,0,0
"120",23,244,-2.5,59,0,12100,0,0,0
"121",0,145,-2.8,77,0,3310,0,0.1,1
"122",1,144,-3,79,0,2930,0,0,3
"123",2,117,-3,79,0,18620,0,0,4
"124",3,78,-3.2,78,0,18080,0,0.2,4
"125",4,58,-3.4,75,0,19820,0,0,4
"126",5,87,-3.6,76,0,19340,0,0,4
"127",6,142,-3.7,76,0,18640,0,0,4
"128",7,379,-4.2,77,0,17410,0,0,3
"129",8,802,-4.2,78,0,15180,0.01,0,2
"130",9,440,-3.3,70,0,13240,0.25,0,2
"131",10,307,-0.9,64,0,12240,0.63,0,2
"132",11,381,1.6,57,1.2,12610,0.93,0,0
"133",12,405,2.4,52,0.9,12240,1.08,0,0
"134",13,442,4.2,47,1.1,14690,1.1,0,0
"135",14,416,5.5,34,1,19660,0.96,0,0
"136",15,412,5.5,31,3.1,19680,0.72,0,0
"137",16,496,5.3,37,2.9,20000,0.36,0,0
"138",17,239,4.1,60,2.5,15650,0.1,0,0
"139",18,204,1.7,90,1,660,0,0.3,3
"140",19,205,1.2,92,0.7,1800,0,0,10
"141",20,190,1.2,94,0.6,2280,0,0,10
"142",21,165,1.1,92,0.5,2350,0,0.7,10
"143",22,222,1.3,92,0.6,2330,0,0,10
"144",23,193,1.3,92,0.6,2090,0,0,10
"145",0,198,1.4,92,0.5,2400,0,0,9
"146",1,218,1.5,92,0.4,2270,0,0,9
"147",2,149,1.4,92,0.7,1680,0,0,9
"148",3,102,1.9,91,1.4,2180,0,0,9
"149",4,62,1.6,92,0.7,1190,0,0,9
"150",5,83,1.5,92,1.1,1750,0,0,9
"151",6,137,1,93,0.5,1480,0,0,9
"152",7,367,0.3,93,0.5,1730,0,0,9
"153",8,754,-0.2,96,0.8,1730,0.01,0,8
"154",9,415,0.1,91,0.8,2650,0.14,0,8
"155",10,321,1.1,83,0.7,3110,0.41,0,7
"156",11,333,2.3,69,1.7,6280,0.63,0,6
"157",12,431,3.7,65,2.4,8330,0.98,0,3
"158",13,394,4.1,37,3.1,17670,1.14,0,0
"159",14,390,4.4,36,2.7,19750,1.04,0,0
"160",15,430,4,35,3.1,19620,0.84,0,0
"161",16,471,3.2,38,2.9,18170,0.51,0,0
"162",17,552,2.1,50,2,14340,0.15,0,0
"163",18,795,0.7,46,2.7,15580,0,0,0
"164",19,507,-0.4,47,2.5,12690,0,0,0
"165",20,390,-1.4,47,2.5,16200,0,0,0
"166",21,402,-2.2,46,2.2,19750,0,0,0
"167",22,389,-2.7,48,2.6,18440,0,0,0
"168",23,259,-3.2,50,2.1,18870,0,0,0
"169",0,233,-3.5,49,2.6,18930,0,0,0
"170",1,230,-3.7,50,2.5,19020,0,0,0
"171",2,131,-4.3,53,1,19180,0,0,0
"172",3,99,-4.8,52,1.6,19780,0,0,0
"173",4,71,-5.3,53,2.4,19360,0,0,0
"174",5,84,-5.8,56,2,19410,0,0,0
"175",6,158,-6,56,3.5,18530,0,0,0
"176",7,387,-6.5,57,0.8,17760,0,0,0
"177",8,780,-7,59,0.8,15590,0.01,0,0
"178",9,395,-6.7,50,0.9,14920,0.23,0,0
"179",10,261,-5.3,44,2.8,15160,0.63,0,0
"180",11,310,-3.7,39,1.4,15950,0.93,0,0
"181",12,355,-2,30,1.4,17280,1.14,0,0
"182",13,354,-1.7,28,1.8,19630,1.22,0,0
"183",14,350,-1.3,27,3.1,19060,1.12,0,0
"184",15,362,-0.8,26,3.3,19770,0.87,0,0
"185",16,401,-1.1,24,3.4,20000,0.56,0,0
"186",17,500,-2.4,30,2.7,20000,0.18,0,0
"187",18,752,-3.1,33,1.2,20000,0,0,0
"188",19,477,-3.3,35,1.1,20000,0,0,0
"189",20,384,-3.3,34,1.5,20000,0,0,0
"190",21,336,-3.3,35,0.5,20000,0,0,0
"191",22,347,-3.4,39,1.2,20000,0,0,0
"192",23,275,-3.5,43,0.9,20000,0,0,0
"193",0,267,-3.5,48,0.9,19670,0,0,0
"194",1,296,-4.1,49,0.6,20000,0,0,0
"195",2,237,-4.7,50,0.7,19830,0,0,0
"196",3,169,-4.3,47,0.6,19920,0,0,0
"197",4,96,-4.3,49,0.7,20000,0,0,0
"198",5,56,-4.7,49,0.8,19990,0,0,0
"199",6,76,-5.1,53,0.9,19750,0,0,0
"200",7,127,-5.5,56,0.8,19500,0,0,0
"201",8,222,-5.4,56,0.7,19400,0.01,0,0
"202",9,291,-4.7,48,1,17840,0.23,0,0
"203",10,273,-2.2,42,1.3,16460,0.61,0,0
"204",11,351,0,45,1.1,15000,0.89,0,0
"205",12,427,2.4,40,0.8,18090,1.05,0,0
"206",13,431,3.9,36,2,17020,1.13,0,0
"207",14,486,4.7,32,2.2,19480,1.06,0,0
"208",15,569,5.2,30,2,19630,0.84,0,0
"209",16,546,4.4,33,1.6,19630,0.4,0,0
"210",17,481,3.5,37,1.8,19630,0.1,0,0
"211",18,384,2.5,41,1,19740,0,0,0
"212",19,275,1.5,48,0.4,18780,0,0,0
"213",20,298,0.8,51,1.4,18480,0,0,0
"214",21,321,-0.1,55,0.7,16540,0,0,0
"215",22,289,-0.5,55,0.6,16550,0,0,0
"216",23,265,-0.1,54,1.3,15700,0,0,0
"217",0,326,-0.2,55,1,16290,0,0,0
"218",1,280,-0.2,54,0.5,17470,0,0,0
"219",2,243,0.2,52,0.7,17260,0,0,0
"220",3,169,0.3,53,0.5,17480,0,0,0
"221",4,71,0.4,52,1.6,18160,0,0,0
"222",5,13,0.3,74,1,1780,0,0,7
"223",6,9,-0.5,90,0.9,910,0,2.5,27
"224",7,20,-0.4,92,1.1,1210,0,0,40
"225",8,35,-0.2,90,1.2,3780,0,0,41
"226",9,31,0.2,90,1,3050,0,1.6,43
"227",10,19,0.5,91,0.4,1430,0,0,43
"228",11,58,0.9,92,0.9,1370,0.03,0,39
"229",12,119,2.3,88,0.3,2450,0.28,0,31
"230",13,182,3.3,87,1.1,2300,0.54,0,21
"231",14,235,4.2,85,0.7,3250,0.65,0,14
"232",15,180,6.7,63,4.5,7150,0.35,0,10
"233",16,214,5.4,71,3.5,6220,0.2,0,5
"234",17,226,3.6,65,4.3,10610,0.03,0,4
"235",18,210,2,61,3,20000,0,0,0
"236",19,181,1.6,53,4,20000,0,0,0
"237",20,165,0.6,57,3.9,19540,0,0,0
"238",21,167,0,59,3,18620,0,0,0
"239",22,152,-1,56,4.7,20000,0,0,0
"240",23,148,-1.4,43,4.3,20000,0,0,0
"241",0,125,-2.5,39,3.4,20000,0,0,0
"242",1,111,-3.4,36,3.8,20000,0,0,0
"243",2,67,-4.2,35,3.4,20000,0,0,0
"244",3,45,-4.7,38,2.4,20000,0,0,0
"245",4,44,-5.2,35,3.2,20000,0,0,0
"246",5,86,-5.6,38,3.2,19740,0,0,0
"247",6,136,-5.9,39,2.9,19790,0,0,0
"248",7,325,-6,39,3.1,19960,0,0,0
"249",8,653,-6,38,3.6,19940,0.01,0,0
"250",9,326,-5.9,36,5.1,19410,0.1,0,0
"251",10,212,-5.3,32,4.5,20000,0.62,0,0
"252",11,226,-4.7,36,3.8,20000,1,0,0
"253",12,247,-5.2,33,4.6,19730,1.26,0,0
"254",13,241,-5.4,32,5.1,19860,1.24,0,0
"255",14,253,-5.4,31,4.1,19450,1.13,0,0
"256",15,269,-5.5,33,4.5,20000,0.92,0,0
"257",16,277,-6,40,4,20000,0.55,0,0
"258",17,361,-7.1,44,4.2,20000,0.18,0,0
"259",18,557,-7.9,43,3.3,20000,0,0,0
"260",19,371,-8.6,45,3.9,20000,0,0,0
"261",20,254,-9.3,49,3.8,20000,0,0,0
"262",21,266,-9.7,51,2.5,20000,0,0,0
"263",22,222,-10.2,50,3,20000,0,0,0
"264",23,174,-10.7,53,1.2,20000,0,0,0
"265",0,133,-11,51,1.1,20000,0,0,0
"266",1,127,-11.2,51,1.1,20000,0,0,0
"267",2,95,-11.5,50,0.7,20000,0,0,0
"268",3,54,-11.6,50,2.2,19950,0,0,0
"269",4,46,-11.6,47,2.1,19820,0,0,0
"270",5,65,-11.6,45,2.8,19510,0,0,0
"271",6,104,-11.8,47,2.5,19730,0,0,0
"272",7,280,-12.1,50,2.3,19290,0,0,0
"273",8,580,-12.3,52,1.3,19140,0,0,0
"274",9,275,-11.8,46,2.9,19560,0.1,0,0
"275",10,184,-10.5,45,3.3,18550,0.6,0,0
"276",11,201,-9.4,42,3.1,18150,0.93,0,0
"277",12,228,-8.3,35,2.9,19670,1.14,0,0
"278",13,225,-6.9,37,2.4,19550,1.22,0,0
"279",14,258,-5.4,32,2,19300,1.12,0,0
"280",15,250,-5.8,30,2.8,20000,0.92,0,0
"281",16,248,-6,29,2.8,19830,0.58,0,0
"282",17,305,-7,32,2.6,20000,0.19,0,0
"283",18,529,-7.7,36,1,20000,0,0,0
"284",19,350,-8.2,43,1.1,20000,0,0,0
"285",20,260,-8.4,42,1,20000,0,0,0
"286",21,270,-8.8,43,1.4,19990,0,0,0
"287",22,256,-9,45,1.3,19990,0,0,0
"288",23,173,-9.3,47,2.1,20000,0,0,0
"289",0,168,-9.5,48,1.3,19960,0,0,0
"290",1,183,-10.2,52,1.6,19970,0,0,0
"291",2,120,-10.4,53,1.8,19490,0,0,0
"292",3,79,-10.9,55,1.8,19130,0,0,0
"293",4,41,-11.4,58,1.3,19070,0,0,0
"294",5,68,-11.5,58,1.1,19230,0,0,0
"295",6,109,-11.9,57,1.1,19740,0,0,0
"296",7,310,-11.7,53,1.6,19980,0,0,0
"297",8,591,-11.4,47,3.3,20000,0,0,0
"298",9,340,-11.1,46,3.4,19810,0.1,0,0
"299",10,202,-9.5,39,2.1,18750,0.6,0,0
"300",11,251,-8.1,35,1.8,18060,0.96,0,0
"301",12,267,-6.5,30,2.9,19450,1.17,0,0
"302",13,251,-5.8,28,2.9,18870,1.23,0,0
"303",14,240,-4.7,27,2.9,18830,1.12,0,0
"304",15,240,-4.9,26,3.1,18870,0.89,0,0
"305",16,278,-4.5,26,2.2,20000,0.56,0,0
"306",17,392,-5.6,29,1.7,20000,0.18,0,0
"307",18,537,-6.6,33,1.1,20000,0,0,0
"308",19,373,-6.6,31,1.6,20000,0,0,0
"309",20,263,-7.6,35,0.8,20000,0,0,0
"310",21,271,-8.3,39,1,20000,0,0,0
"311",22,271,-8.9,39,0.1,20000,0,0,0
"312",23,174,-9.2,44,0.4,19780,0,0,0
"313",0,171,-9.5,50,0.6,19530,0,0,0
"314",1,170,-9.8,48,0.8,20000,0,0,0
"315",2,107,-10.6,44,0.8,19030,0,0,0
"316",3,80,-10.7,48,0.4,16510,0,0,0
"317",4,52,-11,50,0.8,17180,0,0,0
"318",5,62,-10.8,48,0.8,16480,0,0,0
"319",6,108,-11,55,0.8,15410,0,0,0
"320",7,279,-10.9,57,1.1,13870,0,0,0
"321",8,621,-10.4,54,1.1,14320,0.01,0,0
"322",9,305,-9.4,44,0.5,16800,0.13,0,0
"323",10,189,-7.7,43,0.9,15550,0.35,0,0
"324",11,247,-6.1,38,1,15870,0.52,0,0
"325",12,278,-4.9,34,1.3,17680,0.6,0,0
"326",13,282,-3.8,32,0.9,18270,0.52,0,0
"327",14,294,-2.7,28,0.7,18570,0.65,0,0
"328",15,301,-2.5,29,1.1,16670,0.48,0,0
"329",16,335,-2.4,28,0.9,18780,0.35,0,0
"330",17,382,-2.9,31,0.6,17230,0.09,0,0
"331",18,612,-3.5,35,1.1,14140,0,0,0
"332",19,410,-4.2,40,0.9,12160,0,0,0
"333",20,277,-4.8,43,1.1,13970,0,0,0
"334",21,316,-4.8,45,0.8,13510,0,0,0
"335",22,309,-4.9,44,1.1,13690,0,0,0
"336",23,211,-5.6,53,1.2,12900,0,0,0
"337",0,227,-5.7,53,0.6,12620,0,0,0
"338",1,241,-6.3,57,0.4,11480,0,0,0
"339",2,162,-6.8,58,0.4,10890,0,0,0
"340",3,110,-6.9,56,0.5,11110,0,0,0
"341",4,69,-7.1,59,0.8,10580,0,0,0
"342",5,68,-7.5,64,0.9,9890,0,0,0
"343",6,129,-7.4,64,0.7,9060,0,0,0
"344",7,285,-7,63,0.6,8650,0,0,0
"345",8,658,-6.6,64,1.1,7910,0,0,0
"346",9,330,-5.9,60,0.6,6910,0.09,0,0
"347",10,221,-4.6,52,0.8,6480,0.34,0,0
"348",11,279,-2.9,46,1,8090,0.42,0,0
"349",12,309,-2.5,43,0.7,8950,0.34,0,0
"350",13,325,-1.6,40,0.3,8680,0.32,0,0
"351",14,329,-0.7,39,0.8,8260,0.35,0,0
"352",15,342,0.1,35,1.5,9460,0.42,0,0
"353",16,354,0,37,0.6,9940,0.13,0,0
"354",17,464,-0.2,39,0.8,10160,0,0,0
"355",18,682,0.1,43,0.9,14850,0,0,0
"356",19,451,0.6,41,1.2,15500,0,0,0
"357",20,320,0.9,42,1.2,11130,0,0,0
"358",21,300,0.7,47,2.7,12830,0,0,0
"359",22,296,-0.1,49,2,8700,0,0,0
"360",23,247,-1.3,60,2.5,7920,0,0,0
"361",0,217,-2.6,73,3.4,7870,0,0,0
"362",1,302,-3.4,76,2.9,5820,0,0,0
"363",2,228,-4.1,73,2.1,5670,0,0,0
"364",3,129,-4.5,71,1.6,6510,0,0,0
"365",4,80,-5,70,2.7,7020,0,0,0
"366",5,45,-5.6,72,2,6620,0,0,0
"367",6,66,-6.1,69,2.9,7650,0,0,0
"368",7,90,-6.7,64,2.1,9770,0,0,0
"369",8,190,-7.3,62,2.6,11120,0,0,0
"370",9,195,-7.2,47,2.8,17240,0.18,0,0
"371",10,201,-6.2,42,2.3,18930,0.52,0,0
"372",11,239,-5.2,30,4,19910,0.86,0,0
"373",12,252,-4.1,28,3.8,19980,1.08,0,0
"374",13,296,-3.7,23,4,19800,1.12,0,0
"375",14,292,-3.4,22,4.3,19660,1.07,0,0
"376",15,291,-3.3,22,5,20000,0.86,0,0
"377",16,258,-3.3,24,3.5,20000,0.54,0,0
"378",17,277,-4.6,26,2.6,20000,0.17,0,0
"379",18,212,-5.3,28,3.5,20000,0,0,0
"380",19,173,-6,32,2.4,20000,0,0,0
"381",20,143,-6.6,37,3.4,20000,0,0,0
"382",21,159,-7.1,39,3.2,20000,0,0,0
"383",22,155,-7.6,41,1.6,20000,0,0,0
"384",23,142,-8,41,2.2,20000,0,0,0
"385",0,175,-8.1,41,2,20000,0,0,0
"386",1,146,-8.4,40,1.6,20000,0,0,0
"387",2,132,-8.7,40,2.8,20000,0,0,0
"388",3,100,-9,40,3.1,20000,0,0,0
"389",4,41,-9.5,40,1.9,20000,0,0,0
"390",5,31,-9.7,41,3.1,20000,0,0,0
"391",6,39,-9.9,42,2.3,20000,0,0,0
"392",7,53,-10.2,42,2.3,20000,0,0,0
"393",8,94,-10.7,43,0.9,20000,0,0,0
"394",9,122,-10.5,38,1.1,19500,0.19,0,0
"395",10,142,-8.5,31,1.5,19970,0.58,0,0
"396",11,189,-7.2,29,1.8,19260,0.88,0,0
"397",12,216,-4.9,25,2.6,19660,1.08,0,0
"398",13,223,-4.5,25,3.2,19890,1.14,0,0
"399",14,268,-3.2,26,3.1,19330,1.07,0,0
"400",15,278,-2.5,28,2,20000,0.85,0,0
"401",16,256,-2.7,31,2.3,20000,0.54,0,0
"402",17,266,-3.8,35,2.4,20000,0.17,0,0
"403",18,204,-4.7,37,1.8,20000,0.01,0,0
"404",19,157,-5.6,39,1.1,20000,0,0,0
"405",20,166,-6,42,0.8,20000,0,0,0
"406",21,168,-6.5,45,0.7,20000,0,0,0
"407",22,172,-6.6,50,0.6,19900,0,0,0
"408",23,138,-6.9,53,0.7,20000,0,0,0
"409",0,151,-5.9,50,0.6,20000,0,0,0
"410",1,97,-5.3,48,0.4,16640,0,0,0
"411",2,38,-5,65,0.4,9900,0,0,2
"412",3,32,-5.3,76,1,7670,0,0.3,5
"413",4,29,-5.4,81,0.7,2700,0,0,7
"414",5,27,-5.3,81,0.9,9230,0,0,8
"415",6,45,-5.2,85,0.9,2710,0,0.4,13
"416",7,96,-5,85,0.7,1860,0,0,18
"417",8,146,-4.6,86,1.2,5080,0,0,20
"418",9,52,-4.3,89,1,590,0,1.6,40
"419",10,36,-3.7,87,1,5410,0.03,0,48
"420",11,44,-2.9,85,1.2,2430,0.06,0,48
"421",12,62,-1.8,83,1.2,3510,0.09,1.1,51
"422",13,76,-0.9,84,1.2,3330,0.09,0,50
"423",14,116,0.5,76,0.9,3640,0.17,0,42
"424",15,137,1.6,73,0.9,4210,0.6,0,32
"425",16,181,1.8,76,0.8,4100,0.47,0,27
"426",17,175,0.4,84,0.8,3170,0.15,0,27
"427",18,281,0,88,0.6,2770,0,0,27
"428",19,198,1.3,65,1.1,11220,0,0,27
"429",20,165,3.3,65,3.2,11720,0,0,27
"430",21,148,2.8,73,2.4,8310,0,0,26
"431",22,160,1.5,82,2.4,5370,0,0,26
"432",23,128,0.1,81,2.9,5510,0,0,26
"433",0,122,-1,73,2.3,8810,0,0,26
"434",1,122,-2,72,0.8,9790,0,0,26
"435",2,93,-2.7,72,0.9,9900,0,0,26
"436",3,55,-2.8,58,1.6,13150,0,0,26
"437",4,39,-2.9,59,1.8,12860,0,0,26
"438",5,55,-3.9,66,0.7,12090,0,0,26
"439",6,78,-4.3,70,1.6,11690,0,0,26
"440",7,165,-4.4,64,2.8,13670,0,0,26
"441",8,390,-5.2,58,2.2,15940,0,0,25
"442",9,199,-5.3,48,2.6,18100,0.18,0,25
"443",10,151,-4.6,41,2.8,18150,0.57,0,25
"444",11,174,-3.5,35,2.2,17420,0.87,0,25
"445",12,191,-2.5,31,2.6,17780,1.08,0,23
"446",13,189,-2.2,25,3.2,19700,1.17,0,22
"447",14,178,-2.2,23,3.7,19710,1.09,0,22
"448",15,195,-1.3,26,3,20000,0.91,0,21
"449",16,211,-1.8,31,3.1,19930,0.56,0,20
"450",17,256,-2.7,35,1.8,20000,0.18,0,20
"451",18,384,-3.8,42,3.3,20000,0,0,20
"452",19,276,-4.5,51,2,20000,0,0,20
"453",20,225,-4.9,55,2,20000,0,0,20
"454",21,224,-5,57,1.9,20000,0,0,20
"455",22,213,-5.5,56,1.5,20000,0,0,20
"456",23,149,-5.8,57,1.7,20000,0,0,20
"457",0,142,-6.5,63,1.5,16660,0,0,20
"458",1,172,-7.3,67,1.1,15930,0,0,20
"459",2,108,-7.8,68,0.9,16420,0,0,20
"460",3,71,-8.1,70,1.3,15570,0,0,20
"461",4,38,-8.5,73,1,17230,0,0,20
"462",5,56,-8.3,67,0.9,15660,0,0,20
"463",6,97,-8.2,66,0.9,17180,0,0,20
"464",7,213,-8.1,67,0.9,17370,0,0,20
"465",8,466,-7.8,65,1.1,17380,0,0,20
"466",9,239,-6.7,62,1.1,17490,0.09,0,20
"467",10,162,-5.4,56,1.1,17510,0.28,0,20
"468",11,204,-4.2,51,1.1,17720,0.4,0,19
"469",12,209,-3.2,49,1.3,17230,0.53,0,19
"470",13,228,-1.3,43,1,17770,0.8,0,17
"471",14,243,-0.5,44,1,17930,0.71,0,17
"472",15,240,-0.2,45,1,18520,0.41,0,16
"473",16,225,-0.5,48,1.1,17220,0.12,0,16
"474",17,237,-0.9,70,1.1,2990,0.02,0,22
"475",18,329,-1.4,79,1.6,7020,0,0.1,22
"476",19,190,-1.5,81,1.8,7510,0,0,22
"477",20,165,-1.9,86,0.9,7000,0,0,24
"478",21,197,-2,83,1.2,9040,0,0.1,24
"479",22,184,-1.6,82,0.4,9290,0,0,23
"480",23,153,-1.1,87,1.4,3490,0,0,22
"481",0,166,-1.3,90,2,2590,0,0,22
"482",1,189,-1.8,90,1.6,2630,0,0,22
"483",2,132,-2.2,88,1.4,3480,0,0,22
"484",3,79,-2.9,89,1.3,2880,0,0,22
"485",4,58,-3.6,91,1.2,2410,0,0,22
"486",5,49,-4.3,91,1.5,2330,0,0,22
"487",6,84,-4.8,91,1.1,2660,0,0,22
"488",7,178,-5.3,90,1.1,3110,0,0,22
"489",8,423,-5.6,89,0.9,3710,0,0,22
"490",9,265,-5.3,88,0.4,4630,0.21,0,22
"491",10,169,-3,71,0.7,6080,0.67,0,21
"492",11,243,-0.7,62,0.7,5190,0.77,0,20
"493",12,290,1.9,40,2,18350,1.04,0,19
"494",13,285,3.2,42,1.8,13490,1.08,0,18
"495",14,255,4.3,47,2.3,9530,0.96,0,16
"496",15,316,4.4,46,1.4,11130,0.78,0,10
"497",16,301,4.1,51,1.8,11120,0.48,0,9
"498",17,366,2.9,60,1.3,11930,0.16,0,8
"499",18,531,1.7,64,1.3,11400,0,0,8
"500",19,355,0.8,71,0.9,9230,0,0,8
"501",20,288,0.2,72,0.7,9900,0,0,8
"502",21,248,-0.4,74,0.6,10650,0,0,8
"503",22,252,-1.1,78,0.6,8650,0,0,8
"504",23,212,-1.5,79,0.6,8210,0,0,8
"505",0,196,-1.7,79,0.5,7940,0,0,8
"506",1,250,-1.6,79,0.6,7840,0,0,8
"507",2,161,-1.1,79,0.7,7360,0,0,8
"508",3,99,-0.6,76,0.5,7890,0,0,7
"509",4,64,-0.3,76,0.9,7600,0,0,7
"510",5,76,-0.2,73,0.8,8800,0,0,7
"511",6,114,-0.1,71,0.8,8950,0,0,7
"512",7,283,-0.3,72,0.7,9190,0,0,7
"513",8,544,-0.4,69,0.5,9040,0,0,7
"514",9,298,0.3,67,0.7,8970,0.03,0,6
